Index,AnimalID,AnimalID,HF_Cage_Assignment,Cage_Number ,Sex,Genotype,Marking,DOB,Age(Years),Age (days),Age Months,Weight Starting 10/5/20 g,Group_Assignment,Glucose 10/16/20 10/5/20 g,Glucose 12/2/20,Glucose 3/10/21,Weight 10/16/20,Weight Week 10/19/20,Weight_Week_10/19/20,Weight Week 11/2/20,Weight Week 11/9/20,Weight Week 11/16/20,Weight Week 11/23/20,Weight Week 11/30/20,Weight Week 12/7/20,Weight Week 12/14/20,Weight Week 12/21/20,Weight Week 12/28/20,Weight Week 1/4/20,Weight Week 1/11/20,Weight Week 1/18/21,Weight Week 1/25/21,Weight Week 2/1/21,Weight Week 2/1/21,Weight Week 2/9/21,Weight Week 2/15/21,Weight Week 2/22/21,,Weight Week 3/5/21,Handling_Date 1,Open_Field_Date,High_Fat_Diet_Start,Age_HFD_Start,MiddPoint,Inital_HFD_END,Handling_Day2,Age_HFD_End,Comments
11,201012-11,210118-11,10,1312798,F,E3HN,RR,11/20/19,1.60,583.00,19.43,32.00,HFD,105.00,186.00,,37.00,34.00,30.00,40.00,39.00,39.00,41.00,43.00,45.00,46.00,46.00,46.00,46.00,46.00,46.00,47.00,48.00,47.00,46.00,45.00,46.00,,,10/5/20,10/12/20,10/19/20,11.13,11/30/20,1/11/21,1/11/21,13.93,
12,201012-12,210118-12,10,1312798,F,E3HN,R,12/9/19,1.54,564.00,18.80,30.00,HFD,171.00,167.00,,34.00,34.00,34.00,40.00,38.00,38.00,40.00,43.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,43.00,42.00,41.00,39.00,39.00,,,10/5/20,10/12/20,10/19/20,10.50,11/30/20,1/11/21,1/11/21,13.30,
13,201012-13,210118-13,11,1343433,M,E3HN,LR,2/10/20,1.38,501.00,16.70,25.00,HFD,151.00,221.00,,27.00,27.00,28.00,28.00,31.00,30.00,30.00,30.00,30.00,30.00,30.00,33.00,33.00,34.00,34.00,33.00,32.00,32.00,32.00,32.00,32.00,,,10/5/20,10/12/20,10/19/20,8.40,11/30/20,1/11/21,1/11/21,11.20,
14,201012-14,210118-14,11,1343433,M,E3HN,L,12/12/19,1.54,561.00,18.70,28.00,HFD,,,,,,,,,,,,,,,,,,,,,,,,,,,10/8/20,10/12/20,10/19/20,10.40,11/30/20,1/11/21,1/11/21,13.20,Sacraficed-10_15_20
15,201012-15,210118-15,3,1198647,F,E33,L,1/1/20,1.48,541.00,18.03,26.00,HFD,150.00,195.00,,29.00,28.00,29.00,36.00,36.00,36.00,36.00,36.00,36.00,38.00,40.00,42.00,43.00,44.00,44.00,43.00,42.00,42.00,42.00,47.00,46.00,,,10/5/20,10/12/20,10/19/20,9.73,11/30/20,1/11/21,1/11/21,12.53,
16,201012-16,210118-16,3,1198647,F,E33,RR,1/1/20,1.48,541.00,18.03,27.00,HFD,138.00,151.00,,29.00,31.00,32.00,40.00,40.00,39.00,38.00,38.00,37.00,38.00,39.00,39.00,39.00,39.00,40.00,40.00,40.00,40.00,40.00,43.00,43.00,,,10/5/20,10/12/20,10/19/20,9.73,11/30/20,1/11/21,1/11/21,12.53,
17,201012-17,210118-17,5,1275960,F,E33,L,1/1/20,1.48,541.00,18.03,26.00,HFD,109.00,155.00,208.00,27.00,27.00,28.00,31.00,32.00,34.00,38.00,43.00,47.00,48.00,48.00,49.00,49.00,50.00,52.00,50.00,49.00,50.00,50.00,43.00,43.00,,43.00,10/5/20,10/12/20,10/19/20,9.73,11/30/20,1/11/21,1/11/21,12.53,
18,201012-18,210118-18,5,1275960,F,E33,R,1/1/20,1.48,541.00,18.03,29.00,HFD,150.00,173.00,210.00,29.00,30.00,31.00,33.00,34.00,34.00,35.00,35.00,37.00,38.00,38.00,38.00,38.00,38.00,38.00,36.00,34.00,35.00,36.00,54.00,54.00,,49.00,10/5/20,10/12/20,10/19/20,9.73,11/30/20,1/11/21,1/11/21,12.53,
19,201012-19,210118-19,5,1275960,F,E33,LR,1/2/20,1.48,540.00,18.00,27.00,HFD,138.00,183.00,193.00,29.00,29.00,29.00,31.00,31.00,32.00,33.00,35.00,36.00,37.00,38.00,38.00,38.00,39.00,41.00,41.00,42.00,43.00,43.00,43.00,43.00,,41.00,10/5/20,10/12/20,10/19/20,9.70,11/30/20,1/11/21,1/11/21,12.50,
20,201012-20,210118-20,5,1275960,F,E33,LL,1/2/20,1.48,540.00,18.00,28.00,HFD,160.00,189.00,202.00,33.00,33.00,34.00,40.00,40.00,41.00,41.00,42.00,44.00,46.00,48.00,50.00,50.00,51.00,52.00,53.00,54.00,54.00,55.00,57.00,57.00,,53.00,10/5/20,10/12/20,10/19/20,9.70,11/30/20,1/11/21,1/11/21,12.50,
21,201012-21,210118-21,5,1275960,F,E33,RR,1/2/20,1.48,540.00,18.00,29.00,HFD,141.00,192.00,137.00,31.00,31.00,31.00,36.00,37.00,38.00,39.00,40.00,44.00,45.00,47.00,47.00,47.00,47.00,48.00,48.00,49.00,50.00,50.00,50.00,50.00,,33.00,10/5/20,10/12/20,10/19/20,9.70,11/30/20,1/11/21,1/11/21,12.50,
22,201012-22,210118-22,7,1253158,M,E33,L,1/2/20,1.48,540.00,18.00,29.00,HFD,244.00,183.00,131.00,42.00,43.00,44.00,44.00,50.00,50.00,50.00,51.00,51.00,52.00,53.00,53.00,53.00,53.00,53.00,53.00,53.00,53.00,53.00,55.00,55.00,,53.00,10/5/20,10/12/20,10/19/20,9.70,11/30/20,1/11/21,1/11/21,12.50,
23,201012-23,210118-23,7,1253158,M,E33,R,1/2/20,1.48,540.00,18.00,37.00,HFD,195.00,214.00,143.00,33.00,34.00,35.00,40.00,40.00,41.00,42.00,43.00,46.00,47.00,47.00,48.00,48.00,47.00,47.00,48.00,50.00,50.00,50.00,52.00,52.00,,46.00,10/5/20,10/12/20,10/19/20,9.70,11/30/20,1/11/21,1/11/21,12.50,
24,201012-24,210118-24,9,1253152,M,E33,L,1/1/20,1.48,541.00,18.03,28.00,HFD,134.00,247.00,149.00,35.00,33.00,33.00,38.00,38.00,41.00,43.00,44.00,47.00,47.00,47.00,47.00,47.00,48.00,48.00,47.00,47.00,47.00,48.00,46.00,46.00,,48.00,10/5/20,10/12/20,10/19/20,9.73,11/30/20,1/11/21,1/11/21,12.53,
25,201012-25,210118-25,9,1253152,M,E33,R,1/1/20,1.48,541.00,18.03,27.00,HFD,160.00,198.00,223.00,32.00,31.00,32.00,37.00,37.00,37.00,37.00,38.00,38.00,39.00,38.00,39.00,39.00,41.00,42.00,43.00,43.00,43.00,43.00,48.00,47.00,,47.00,10/5/20,10/12/20,10/19/20,9.73,11/30/20,1/11/21,1/11/21,12.53,
26,201012-26,210118-26,9,1253152,M,E33,LR,1/1/20,1.48,541.00,18.03,26.00,HFD,187.00,267.00,180.00,38.00,38.00,38.00,47.00,50.00,50.00,50.00,50.00,50.00,51.00,52.00,53.00,53.00,53.00,54.00,54.00,53.00,54.00,56.00,57.00,57.00,,57.00,10/5/20,10/12/20,10/19/20,9.73,11/30/20,1/11/21,1/11/21,12.53,
27,201012-27,210118-27,9,1253152,M,E33,LL,1/1/20,1.48,541.00,18.03,28.00,HFD,145.00,190.00,238.00,31.00,30.00,31.00,36.00,36.00,36.00,36.00,37.00,37.00,36.00,35.00,35.00,35.00,37.00,38.00,39.00,39.00,44.00,47.00,51.00,51.00,,46.00,10/5/20,10/12/20,10/19/20,9.73,11/30/20,1/11/21,1/11/21,12.53,
