QA,PumpGroup,NameGroup,Source,CIVM_ID,Treatment,BadeaID,OldBadeaID,Geno,Sex_other,IDStripped,TestDate,Age_Substracted,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet,Age_Handling,Unnamed: 28,age
,11,original_2019_scans,In House,190715_10:1,Control,190715_10,190715_10,APOE22,male,190715,7/15/19,13,5/26/18,32.3,9/12/15,16.57,17,1.38,,190715_10:1,N57513,N57514,112,24,,16.57,Control,,,14
,12,original_2019_scans,In House,190610_4:1,Control,190610_4,190610_4,APOE44,male,190610,6/10/19,14,4/3/18,30.6,8/8/15,16.2,16,1.35,,190610_4:1,N57515,N57516,114,26,,16.2,Control,,,14
,13,original_2019_scans,In House,190610_9:1,Control,190610_9,190610_9,APOE44,female,190610,6/10/19,14,4/3/18,24.6,8/8/15,16.2,16,1.35,,190610_9:1,N57518,N57519,114,28,,16.2,Control,,,14
,14,original_2019_scans,In House,190610_5:1,Control,190610_5,190610_5,APOE44,male,190610,6/10/19,14,4/3/18,32.2,8/8/15,16.2,16,1.35,,190610_5:1,N57520,N57521,111,26,,16.2,Control,,,14
,15,original_2019_scans,In House,190610_10:1,Control,190610_10,190610_10,APOE44,female,190610,6/10/19,14,4/3/18,29.6,8/8/15,16.2,16,1.35,,190610_10:1,N57522,N57523,111,26,,16.2,Control,,,14
,16,original_2019_scans,In House,190715_1:1,Control,190715_1,190715_1,APOE33,male,190715,6/10/19,13,4/26/18,32.7,9/12/15,16.57,17,1.38, ,190715_1:1,N57546,N57547,113,26, ,16.57,Control,,,14
,17,original_2019_scans,In House,190715_2:1,Control,190715_2,190715_2,APOE33,male,190715,6/10/19,13,4/26/18,36.9,9/12/15,16.57,17,1.38, ,190715_2:1,N57548,N57549,113,26, ,16.57,Control,,,14
,18,original_2019_scans,In House,190715_3:1,Control,190715_3,190715_3,APOE33,male,190715,6/10/19,13,4/26/18,32.4,9/12/15,16.57,17,1.38, ,190715_3:1,N57550,N57551,116,26, ,16.57,Control,,,14
,19,original_2019_scans,In House,190715_5:1,Control,190715_5,190715_5,APOE22,male,190715,6/10/19,12,5/26/18,32,9/12/15,17.73,18,1.48,,190715_5:1,N57552,N57553,115,27,,17.73,Control,,,13
,20,original_2019_scans,In House,190715_4:1,Control,190715_4,190715_4,HN,female,190715,6/10/19,14,3/21/18,27.8,9/12/15,17.73,18,1.48,,190715_4:1,N57554,N57555,114,26,,17.73,Control,,,15
,21,original_2019_scans,In House,190909_9:1,Control,190909_9,190909_9,HN,male,190909,9/9/19,17,3/21/18,33.4,10/11/15,17.53,18,1.46,,190909_9:1,N57559,N57560,149,26,,17.53,Control,,,18
,22,original_2019_scans,In House,190909_10:1,Control,190909_10,190909_10,APOE33,male,190909,9/9/19,16,4/26/18,36.4,10/11/15,17.53,18,1.46, ,190909_10:1,N57580,N57581,125,27, ,17.53,Control,,,17
,23,original_2019_scans,In House,190909_11:1,Control,190909_11,190909_11,APOE33,female,190909,9/9/19,16,4/26/18,36.2,10/11/15,17.53,18,1.46, ,190909_11:1,N57582,N57583,108,24, ,17.53,Control,,,17
,24,original_2019_scans,In House,190909_12:1,Control,190909_12,190909_12,APOE33,female,190909,9/9/19,16,4/26/18,30.4,10/11/15,17.53,18,1.46, ,190909_12:1,N57584,N57585,108,24, ,17.53,Control,,,17
,24,original_2019_scans,In House,190909_13:1,Control,190909_13,190909_13,APOE33,male,190909,9/9/19,16,4/26/18,34,10/11/15,17.53,18,1.46, ,190909_13:1,N57587,N57588,114,25, ,17.53,Control,,,17
,25,original_2019_scans,In House,190909_14:1,Control,190909_14,190909_14,APOE33,female,190909,9/9/19,16,4/26/18,28.1,10/9/15,17.47,17,1.46, ,190909_14:1,N57590,N57591,111,17, ,17.47,Control,,,17
,26,original_2019_scans,In House,191028_7:1,Control,191028_7,191028_7,APOE22,male,191028,10/28/19,18,4/26/18,28,12/3/15,15.27,15,1.27,,191028_7:1,N57692,N57693,108,24,,15.27,Control,,,18
,27,original_2019_scans,In House,191028_3:1,Control,191028_3,191028_3,APOE22,female,191028,10/28/19,18,4/26/18,22.3,12/3/15,15.27,15,1.27,,191028_3:1,N57694,N57695,105,24,,15.27,Control,,,18
,28,original_2019_scans,In House,191028_6:1,Control,191028_6,191028_6,APOE22,male,191028,10/28/19,18,4/26/18,30.3,12/3/15,15.27,15,1.27,,191028_6:1,N57700,N57701,120,26,,15.27,Control,,,18
,29,original_2019_scans,In House,191028_4:1,Control,191028_4,191028_4,APOE22,female,191028,10/28/19,18,4/26/18,24,12/3/15,15.27,15,1.27,,191028_4:1,N57702,N57703,106,24,,15.27,Control,,,18
,30,original_2019_scans,In House,191028_5:1,Control,191028_5,191028_5,APOE22,female,191028,10/28/19,18,4/26/18,22.5,12/3/15,15.27,15,1.27,,191028_5:1,N57709,N57710,106,24,,15.27,Control,,,18
,I,1,In House,200331-14,Control,200331_14,24,APOE44,male,200331,3/31/20,18,9/11/18,32.2,4/23/16,19.4,19,1.62,TRUE,200331-14:1,N58302_m00-m48,N58301,115,26,,19.4,Control,,,66
,I,2,In House,200331-15,Control,200331_15,25,APOE44,male,200331,3/31/20,18,9/11/18,34.1,4/23/16,19.4,19,1.62,TRUE,200331-15:1,N58305_m00-m48,N58306,126,25,,19.4,Control,,,66
,I,3,In House,200331-16,Control,200331_16,26,APOE44,male,200331,3/31/20,16,11/5/18,33.4,4/23/16,17.6,18,1.47,TRUE,200331-16:1,N58303_m00-m48,N58304,119,26,,17.6,Control,,,64
,I,4,In House,200331-17,Control,200331_17,27,APOE44,female,200331,3/31/20,18,9/11/18,25.7,4/23/16,19.4,19,1.62,TRUE,200331-17:1,N58309_m00-m48,N58308,110,24,,19.4,Control,,,66
,I,5,In House,200331-18,Control,200331_18,28,APOE44,male,200331,3/31/20,18,9/11/18,32.2,4/23/16,19.4,19,1.62,TRUE,200331-18:1,N58310_m00-m48,N58311,110,26,,19.4,Control,,,66
,I,6,In House,200331-20,Control,200331_20,30,APOE44,male,200331,3/31/20,18,9/11/18,31.9,4/23/16,19.4,19,1.62,TRUE,200331-20:1,N58355_m00-m48,N58358,109,27,,19.4,Control,,,66
,I,7,In House,200302-10,Control,200302_10,8,APOE22,male,200302,3/2/20,17,10/1/18,33.2,4/23/16,18.73,19,1.56,TRUE,200302-10:1,N58344_m00-m48,N58348,104,25,,18.73,Control,,,65
,I,8,In House,200302-11,Control,200302_11,9,APOE22,male,200302,3/2/20,17,10/1/18,34.8,4/23/16,18.73,19,1.56,TRUE,200302-11:1,N58346_m00-m48,N58349,116,25,,18.73,Control,,,65
,I,9,In House,200302-12,Control,200302_12,10,APOE22,male,200302,3/2/20,17,10/1/18,36.5,4/23/16,18.73,19,1.56,TRUE,200302-12:1,N58350_m00-m48,N58356,111,25,,18.73,Control,,,65
,II,1,In House,200302-3,Control,200302_3,1,APOE22,male,200302,3/2/20,16,10/22/18,31,5/7/16,18.5,19,1.54,TRUE,200302-3:1,N58394_m00-m48,N58395,112,28,,18.5,Control,,,65
,II,2,In House,200302-4,Control,200302_4,2,APOE22,male,200302,3/2/20,16,10/22/18,30.8,5/7/16,18.5,19,1.54,TRUE,200302-4:1,N58396_m00-m48,N58397,111,28,,18.5,Control,,,65
,II,3,In House,200302-5,Control,200302_5,3,APOE22,male,200302,3/2/20,16,10/22/18,31.5,5/7/16,18.5,19,1.54,TRUE,200302-5:1,N58398_m00-m48,N58399,112,27,,18.5,Control,,,65
,II,4,In House,200302-6,Control,200302_6,4,APOE22,female,200302,3/2/20,16,10/22/18,27.6,5/7/16,18.5,19,1.54,TRUE,200302-6:1,N58359_m00-m48,N58360,112,26,,18.5,Control,,,65
,II,5,In House,200302-7,Control,200302_7,5,APOE22,female,200302,3/2/20,16,10/22/18,27.3,5/7/16,18.5,19,1.54,TRUE,200302-7:1,N58361_m00-m48,N58362,109,26,,18.5,Control,,,65
,II,6,In House,200302-8,Control,200302_8,6,APOE22,female,200302,3/2/20,16,10/22/18,27.5,5/7/16,18.5,19,1.54,TRUE,200302-8:1,N58404_m00-m48,N58405,107,27,18.5,18.5,Control,,,65
,II,7,In House,200302-9,Control,200302_9,7,APOE22,female,200302,3/2/20,16,10/22/18,28,5/7/16,18.5,19,1.54,TRUE,200302-9:1,N58402_m00-m48,N58403,105,27,18.5,18.5,Control,,,65
,III,1,In House,200331-1,Control,200331_1,11,APOE22,female,200331,3/31/20,16,11/23/18,25.8,5/7/16,17.47,17,1.46,TRUE,200331-1:1,N58516_m00-m48,N58517,97,24,17.47,17.47,Control,,,64
,III,2,In House,200331-2,Control,200331_2,12,APOE22,female,200331,3/31/20,16,11/23/18,25.6,5/28/16,18.17,18,1.51,TRUE,200331-2:1,N58608_m00-m48,N58612,88,25,18.17,18.17,Control,,,64
,III,3,In House,200331-3,Control,200331_3,13,APOE22,female,200331,3/31/20,16,11/23/18,26.9,5/28/16,18.17,18,1.51,TRUE,200331-3:1,,,,,18.17,18.17,Control,,,64
,III,4,In House,200331-4,Control,200331_4,14,APOE22,female,200331,3/31/20,16,11/23/18,27,5/28/16,18.17,18,1.51,TRUE,200331-4:1,N58606_m00-m48,N58607,88,25,18.17,18.17,Control,,,64
,III,5,In House,200331-5,Control,200331_5,15,APOE22,female,200331,3/31/20,16,11/23/18,25.9,5/28/16,18.17,18,1.51,TRUE,200331-5:1,N58604_m00-m48,N58605,96,25,18.17,18.17,Control,,,64
,III,6,In House,200331-7,Control,200331_7,17,APOE22,female,200331,3/31/20,16,11/23/18,29.3,5/28/16,18.17,18,1.51,TRUE,200331-7:1,N58512_m00-m48,N58513,93,26,18.17,18.17,Control,,,64
,III,7,In House,200331-8,Control,200331_8,18,APOE22,female,200331,3/31/20,16,11/23/18,26.6,5/28/16,18.17,18,1.51,TRUE,200331-8:1,N58477_m00-m48,N58478,95,24,18.17,18.17,Control,,,64
,III,8,In House,200331-9,Control,200331_9,19,APOE22,female,200331,3/31/20,16,11/23/18,27.9,5/28/16,18.17,18,1.51,TRUE,200331-9:1,N58500_m00-m48,N58501,100,25,18.17,18.17,Control,,,64
,III,9,In House,200331-10,Control,200331_10,20,APOE22,female,200331,3/31/20,16,11/23/18,25.7,5/28/16,18.17,18,1.51,TRUE,200331-10:1,N58510_m00-m48,N58511,94,25,18.17,18.17,Control,,,64
,III,10,In House,200331-11,Control,200331_11,21,APOE22,male,200331,3/31/20,16,11/23/18,28.6,5/28/16,18.17,18,1.51,TRUE,200331-11:1,N58406_m00-m48,N58407,104,27,18.17,18.17,Control,,,64
,III,11,In House,200331-12,Control,200331_12,22,APOE22,male,200331,3/31/20,16,11/23/18,30.9,5/28/16,18.17,18,1.51,TRUE,200331-12:1,N58408_m00-m48,N58409,117,27,18.17,18.17,Control,,,64
,III,12,In House,200331-13,Control,200331_13,23,APOE22,male,200331,3/31/20,16,11/23/18,26.6,5/28/16,18.17,18,1.51,TRUE,200331-13:1,N58514_m00-m48,N58515,95,27,18.17,18.17,Control,,,64
,IV,1,In House,201015-1           ,Control,201015_1,?,APOE33HN,male,201015,10/15/20,10,12/11/19,32,10/14/16,10.1,10,0.84,FALSE,201015-1:1,N58655_m00-m48,N58667,99,24,10.1,10.1,Control,,,58
,IX,1,In House,210624-1,Control,210503_1,210503_1,APOE33,male,210503,5/3/21,18,10/12/19,33.5,6/30/17,20.6,21,1.72,TRUE,210624-1:1,,,,,,20.6,Control,18.93333333,,67
,IX,2,In House,210624-2,Control,210503_2,210503_2,APOE33,male,210503,5/3/21,18,10/12/19,39,6/30/17,20.6,21,1.72,TRUE,210624-2:1,,,,,,20.6,Control,18.93333333,,67
,IX,3,In House,210624-3,Control,210503_3,210503_3,APOE33,male,210503,5/3/21,18,10/12/19,40.3,6/30/17,20.6,21,1.72,TRUE,210624-3:1,,,,,,20.6,Control,18.93333333,,67
,IX,4,In House,210624-4,Control,210503_4,210503_4,APOE33,male,210503,5/3/21,18,11/1/19,31.3,6/30/17,19.97,20,1.66,TRUE,210624-4:1,,,,,,19.97,Control,18.26666667,,66
,IX,5,In House,210624-5,Control,210503_5,210503_5,APOE33,male,210503,5/3/21,18,11/1/19,33.3,6/30/17,19.97,20,1.66,TRUE,210624-5:1,,,,,,19.97,Control,18.26666667,,66
,IX,6,In House,210624-6,Control,210503_6,210503_6,APOE33,male,210503,5/3/21,18,11/1/19,32.9,6/30/17,19.97,20,1.66,TRUE,210624-6:1,N58952_m00-m48,N58953,126,28,,19.97,Control,18.26666667,,66
,IX,7,In House,210624-7,Control,210503_7,210503_7,APOE33,female,210503,5/3/21,18,11/1/19,27.5,6/30/17,19.97,20,1.66,TRUE,210624-7:1,,,,,,19.97,Control,18.26666667,,66
,IX,8,In House,210624-8,Control,210503_8,210503_8,APOE33,female,210503,5/3/21,18,11/1/19,32.1,6/30/17,19.97,20,1.66,TRUE,210624-8:1,,,,,,19.97,Control,18.26666667,,66
,IX,9,In House,210624-9,Control,210503_9,210503_9,APOE33,female,210503,5/3/21,18,11/1/19,30.3,6/30/17,19.97,20,1.66,TRUE,210624-9:1,,,,,,19.97,Control,18.26666667,,66
,IX,10,In House,210624-10,Control,210503_11,210503_11,APOE33,female,210503,5/3/21,18,11/1/19,30.6,6/30/17,19.97,20,1.66,TRUE,210624-10:1,,,,,,19.97,Control,18.26666667,,66
,IX,11,In House,210624-11,Control,210503_12,210503_12,APOE33,female,210503,5/3/21,17,11/7/19,30.7,6/30/17,19.77,20,1.65,TRUE,210624-11:1,,,,,,19.77,Control,18.06666667,,66
,IX,12,In House,210624-12,Control,210503_13,210503_13,APOE33,female,210503,5/3/21,17,11/7/19,30.5,6/23/17,19.2,19,1.6,,210624-12:1,,,,,"Abdominal tumor.  6/30/21 die during image? Did not draw the blood. 7/1/21 dessection find uterus, ovary or kidney tumor. Save haed in formalin+0.5% ProHance",#VALUE!,Control,18.06666667,,66
,IX,13,In House,210624-13,Control,210503_14,210503_14,APOE33,female,210503,5/3/21,17,11/7/19,27.7,6/23/17,19.2,19,1.6,,210624-13:1,,,,,6/30/21 Die during image. Did not draw the blood. 7/1/21 Save haed in formalin+0.5% ProHance,#VALUE!,Control,18.06666667,,66
,IX,14,In House,210624-14,Control,210503_15,210503_15,APOE33,female,210503,5/3/21,17,11/7/19,36.5,6/30/17,19.77,20,1.65,TRUE,210624-14:1,,,,,,19.77,Control,18.06666667,,66
,IX,15,In House,210624-15,Control,210503_16,210503_16,APOE33,female,210503,5/3/21,17,11/7/19,30.1,6/23/17,19.2,19,1.6,,210624-15:1,,,,,"6/30/21 MRI find brain tumor. 7/1/21 wt 30.4g. Lip-I (IV) injection for Micro Ct , 7/6/21 Die during CT. Did not draw the blood. Save haed in formalin+0.5% ProHance",#VALUE!,Control,18.06666667,,66
,IX,16,In House,210624-16,Control,210503_17,210503_17,APOE33,female,210503,5/3/21,21,7/7/19,35.1,6/23/17,19.2,19,1.6,,210624-16:1,died during imaging,,,,7/1/21 Die during image. Did not draw the blood. 7/2/21 Save haed in formalin+0.5% ProHance,#VALUE!,Control,22.16666667,,70
,V,1,In House,210113-1           ,Control,201026_1,201026_1,APOE44HN,female,201026,10/26/20,17,4/28/19,28.4,1/14/17,20.53,21,1.71,TRUE,210113-1:1,N58706_m00-m48,N58707,105,27,20.53,20.53,Control,18.2,,66
,V,2,In House,210113-2           ,Control,201026_2,201026_2,APOE44HN,female,201026,10/26/20,14,8/11/19,31,1/14/17,17.1,17,1.43,TRUE,210113-2:1,N58708_m00-m48,N58709,107,26,17.1,17.1,Control,14.7,,62
,V,3,In House,210113-3           ,Control,201026_3,201026_3,APOE44HN,male,201026,10/26/20,10,11/29/19,31.8,1/14/17,13.5,14,1.13,FALSE,210113-3:1,N58712_m00-m48,N58713,116,27,13.5,13.5,Control,11.03,,59
,V,4,In House,210113-4           ,Control,201026_4,201026_4,APOE44HN,male,201026,10/26/20,17,4/28/19,28,1/14/17,20.53,21,1.71,TRUE,210113-4:1,N58714_m00-m48,N58715,111,27,20.53,20.53,Control,18.2,,66
,VI,1,In House,210216-1           ,Control,210216_1,?,APOE22HN,male,210216,2/16/21,8,6/15/20,29.5,2/15/17,8,8,0.67,FALSE,210216-1:1,,,,,8,8,Control,,,56
,VII,1,In House,210118-1           ,HFD,201012_1,201012_1,APOE44HN,male,201012,10/12/20,8,1/14/20,36.4,3/1/17,13.57,14,1.13,FALSE,210118-1:1,N58732_m00-m48,N58736,102,26,13.57,13.57,HFD,11.87,,57
,VII,2,In House,210118-2           ,HFD,201012_2,201012_2,APOE44HN,male,201012,10/12/20,8,1/14/20,35.4,3/1/17,13.57,14,1.13,FALSE,210118-2:1,N58733_m00-m48,N58737,109,26,13.57,13.57,HFD,11.87,,57
,VII,3,In House,210118-3           ,HFD,201012_3,201012_3,APOE44HN,male,201012,10/12/20,8,1/20/20,46.8,3/1/17,13.37,13,1.11,FALSE,210118-3:1,N58734_m00-m48,N58738,113,25,13.37,13.37,HFD,11.67,,57
,VII,4,In House,210118-8           ,HFD,201012_8,201012_8,APOE44HN,female,201012,10/12/20,9,12/24/19,41.2,3/1/17,14.23,14,1.19,FALSE,210118-8:1,N58735_m00-m48,N58739,130,28,14.23,14.23,HFD,12.53,,58
,VII,5,In House,210118-10           ,HFD,201012_10,201012_10,APOE44HN,female,201012,10/12/20,9,12/24/19,34.5,3/1/17,14.23,14,1.19,FALSE,210118-10:1,N58740_m00-m48,N58741,102,26,14.23,14.23,HFD,12.53,,58
,VII,6,In House,210118-11           ,HFD,201012_11,201012_11,APOE33HN,female,201012,10/12/20,10,11/19/19,44.1,3/1/17,15.4,15,1.28,FALSE,210118-11:1,N58742_m00-m48,N58743,106,26,15.4,15.4,HFD,13.7,,59
,VII,7,In House,210118-12           ,HFD,201012_12,201012_12,APOE33HN,female,201012,10/12/20,10,12/8/19,36.6,3/1/17,14.77,15,1.23,FALSE,210118-12:1,N58745_m00-m48,N59113,106,26,14.77,14.77,HFD,13.07,,58
,VII,8,In House,210118-13           ,HFD,201012_13,201012_13,APOE33HN,male,201012,10/12/20,7,2/19/20,31.4,3/1/17,12.4,12,1.03,FALSE,210118-13:1,N58747_m00-m48,N58748,106,26,12.4,12.4,HFD,11.03,,56
,VII,9,In House,210118-15           ,HFD,201012_15,201012_15,APOE33,female,201012,10/12/20,9,12/31/19,42.5,3/1/17,14.03,14,1.17,FALSE,210118-15:1,N58749_m00-m48,N58750,106,26,14.03,14.03,HFD,12.33,,58
,VII,10,In House,210118-16           ,HFD,201012_16,201012_16,APOE33,female,201012,10/12/20,9,12/31/19,41.2,3/1/17,14.03,14,1.17,FALSE,210118-16:1,N58751_m00-m48,N58752,107,26,14.03,14.03,HFD,12.33,,58
,VII,11,In House,210118-4           ,HFD,201012_4,201012_4,APOE44HN,female,201012,10/12/20,9,12/24/19,38.8,3/14/17,14.67,15,1.22,FALSE,210118-4:1,N58779_m00-m48,N58782,104,27,14.67,14.67,HFD,11.87,,58
,VII,12,In House,210118-5           ,HFD,201012_5,201012_5,APOE44HN,female,201012,10/12/20,9,12/24/19,39.8,3/14/17,14.67,15,1.22,FALSE,210118-5:1,N58780_m00-m48,N58781,110,28,,14.67,HFD,11.87,,58
,VII,13,In House,210118-6           ,HFD,201012_6,201012_6,APOE44HN,female,201012,10/12/20,9,12/24/19,39.7,3/14/17,14.67,15,1.22,FALSE,210118-6:1,N58784_m00-m48,N58785,97,27,,14.67,HFD,11.87,,58
,VII,14,In House,210118-7           ,HFD,201012_7,201012_7,APOE44HN,female,201012,10/12/20,9,12/24/19,32.8,3/14/17,14.67,15,1.22,FALSE,210118-7:1,N58788_m00-m48,N58789,104,26,,14.67,HFD,12.53,,58
,VII,15,In House,210118-9           ,HFD,201012_9,201012_9,APOE44HN,female,201012,10/12/20,9,12/24/19,31.9,3/15/17,14.7,15,1.23,FALSE,210118-9:1,N58790_m00-m48,N58791,113,27,,14.7,HFD,12.53,,58
,VII,16,In House,210118-17           ,HFD,201012_17,201012_17,APOE33,female,201012,10/12/20,9,12/31/19,41.3,3/14/17,14.47,14,1.21,FALSE,210118-17:1,N58792_m00-m48,N58793,106,27,,14.47,HFD,12.33,,58
,VII,17,In House,210118-18           ,HFD,201012_18,201012_18,APOE33,female,201012,10/12/20,9,12/31/19,44.3,3/14/17,14.47,14,1.21,FALSE,210118-18:1,N58794_m00-m48,N58795,109,27,,14.47,HFD,12.33,,58
,VII,18,In House,210118-19           ,HFD,201012_19,201012_19,APOE33,female,201012,10/12/20,9,1/1/20,40.3,3/14/17,14.43,14,1.2,FALSE,210118-19:1,N58829_m00-m48,N58830,104,24,d,14.43,HFD,12.3,,57
,VII,19,In House,210118-20           ,HFD,201012_20,201012_20,APOE33,female,201012,10/12/20,9,1/1/20,46.9,3/14/17,14.43,14,1.2,FALSE,210118-20:1,N58813_m00-m48,N58814,106,27,,14.43,HFD,12.3,,57
,VII,20,In House,210118-21           ,HFD,201012_21,201012_21,APOE33,female,201012,10/12/20,9,1/1/20,33.8,3/15/17,14.47,14,1.21,FALSE,210118-21:1,N58815_m00-m48,N58816,104,27,d,14.47,HFD,12.3,,57
,VII,21,In House,210118-22           ,HFD,201012_22,201012_22,APOE33,male,201012,10/12/20,9,1/1/20,46,3/15/17,14.47,14,1.21,FALSE,210118-22:1,N58821_m00-m48,N58822,105,26,d,14.47,HFD,12.3,,57
,VII,22,In House,210118-23           ,HFD,201012_23,201012_23,APOE33,male,201012,10/12/20,9,1/1/20,42,3/15/17,14.47,14,1.21,FALSE,210118-23:1,N58819_m00-m48,N58820,107,26,d,14.47,HFD,12.3,,57
,VII,23,In House,210118-24           ,HFD,201012_24,201012_24,APOE33,male,201012,10/12/20,9,12/31/19,43.8,3/15/17,14.5,15,1.21,FALSE,210118-24:1,N58831_m00-m48,N58832,108,27,d,14.5,HFD,12.33,,58
,VII,24,In House,210118-25           ,HFD,201012_25,201012_25,APOE33,male,201012,10/12/20,9,12/31/19,43.9,3/15/17,14.5,15,1.21,FALSE,210118-25:1,N58851_m00-m48,N58852,111,28,d,14.5,HFD,12.33,,58
,VII,25,In House,210118-26           ,HFD,201012_26,201012_26,APOE33,male,201012,10/12/20,9,12/31/19,54,3/15/17,14.5,15,1.21,FALSE,210118-26:1,N58853_m00-m48,N58854,100,29,d,14.5,HFD,12.33,,58
,VII,26,In House,210118-27           ,HFD,201012_27,201012_27,APOE33,male,201012,10/12/20,9,12/31/19,43.1,3/15/17,14.5,15,1.21,FALSE,210118-27:1,N58855_m00-m48,N58856,106,26,d,14.5,HFD,12.33,,58
,VIII,1,In House,210201-2,Control,210201_2,210201_2,APOE33,female,210201,2/1/21,13,1/1/20,31.2,6/8/17,17.23,17,1.44,TRUE,210201-2:1,N59003-m00-m48,N59004,64,26, ,17.23,Control,13.2,,61
,VIII,2,In House,210201-3,Control,210201_3,210201_3,APOE33,female,210201,2/1/21,13,1/1/20,34.6,6/8/17,17.23,17,1.44,TRUE,210201-3:1,,,,,,17.23,Control,13.2,,61
,VIII,3,In House,210201-4,Control,210201_4,210201_4,APOE33,female,210201,2/1/21,13,1/1/20,33.6,6/8/17,17.23,17,1.44,TRUE,210201-4:1,,,,,,17.23,Control,13.2,,61
,VIII,4,In House,210201-5,Control,210201_5,210201_5,APOE33,female,210201,2/1/21,13,1/1/20,28.5,6/8/17,17.23,17,1.44,TRUE,210201-5:1,,,,,,17.23,Control,13.2,,61
,VIII,5,In House,210201-6,Control,210201_6,210201_6,APOE44,female,210201,2/1/21,10,3/3/20,26.3,6/2/17,14.97,15,1.25,FALSE,210201-6:1,N58913_m00-m48,N58914,112,26,,14.97,Control,11.13333333,,59
,VIII,6,In House,210201-7,Control,210201_7,210201_7,APOE44,female,210201,2/1/21,10,3/3/20,25.7,6/2/17,14.97,15,1.25,FALSE,210201-7:1,N58915_m00-m48,N58916,110,25,,14.97,Control,11.13333333,,59
,VIII,7,In House,210201-8,Control,210201_8,210201_8,APOE44,female,210201,2/1/21,10,3/3/20,25.2,6/2/17,14.97,15,1.25,FALSE,210201-8:1,N58909_m00-m48,N58910,113,25,AD,14.97,Control,11.13333333,,59
,VIII,8,In House,210201-9,Control,210201_9,210201_9,APOE44,female,210201,2/1/21,10,3/3/20,25.6,6/2/17,14.97,15,1.25,FALSE,210201-9:1,N58906_m00-m48,N58907,113,25,AD,14.97,Control,11.13333333,,59
,VIII,9,In House,210201-10,Control,210201_10,210201_10,APOE44,female,210201,2/1/21,10,3/3/20,24.9,6/2/17,14.97,15,1.25,FALSE,210201-10:1,N58883_m00-m48,N58884,107,26,d,14.97,Control,11.13333333,,59
,VIII,10,In House,210201-11,Control,210201_11,210201_11,APOE44,male,210201,2/1/21,10,3/17/20,29.2,5/26/17,14.3,14,1.19,FALSE,210201-11:1,N58887_m00-m48,N58888,104,24,D,14.3,Control,10.66666667,,59
,VIII,11,In House,210201-12,Control,210201_12,210201_12,APOE44,male,210201,2/1/21,10,3/17/20,30.9,5/26/17,14.3,14,1.19,FALSE,210201-12:1,N58885_m00-m48,N58886,107,25,D,14.3,Control,10.66666667,,59
