PumpGroup,NameGroup,Source,CIVM,Treatment,Animal_ID,Genotype,Sex,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet
25,original_2019_scans,In House,190909_14,Control,190909_14,APOE33,female,4/25/14,28.1,10/9/15,17.47,17,1.46,,190909_14:1,N57590,N57591,111,17,,17.47,Control
26,original_2019_scans,In House,191028_7,Control,191028_7,APOE22,male,8/25/14,28,12/3/15,15.27,15,1.27,,191028_7:1,N57692,N57693,108,24,,15.27,Control
27,original_2019_scans,In House,191028_3,Control,191028_3,APOE22,female,8/25/14,22.3,12/3/15,15.27,15,1.27,,191028_3:1,N57694,N57695,105,24,,15.27,Control
28,original_2019_scans,In House,191028_6,Control,191028_6,APOE22,male,8/25/14,30.3,12/3/15,15.27,15,1.27,,191028_6:1,N57700,N57701,120,26,,15.27,Control
29,original_2019_scans,In House,191028_4,Control,191028_4,APOE22,female,8/25/14,24,12/3/15,15.27,15,1.27,,191028_4:1,N57702,N57703,106,24,,15.27,Control
30,original_2019_scans,In House,191028_5,Control,191028_5,APOE22,female,8/25/14,22.5,12/3/15,15.27,15,1.27,,191028_5:1,N57709,N57710,106,24,,15.27,Control
31,original_2019_scans,In House,190909_10,Control,190909_10,APOE33,male,4/25/14,36.4,10/11/15,17.53,18,1.46,,190909_10:1,N57460,N57461,112,24,,17.53,Control
I,1,In House,200331_14,Control,24,APOE44,male,9/11/14,32.2,4/23/16,19.4,19,1.62,TRUE,200331-14:1,N58302_m00-m48,N58301,115,26,,19.4,Control
I,2,In House,200331_15,Control,25,APOE44,male,9/11/14,34.1,4/23/16,19.4,19,1.62,TRUE,200331-15:1,N58305_m00-m48,N58306,126,25,,19.4,Control
I,3,In House,200331_16,Control,26,APOE44,male,11/5/14,33.4,4/23/16,17.6,18,1.47,TRUE,200331-16:1,N58303_m00-m48,N58304,119,26,,17.6,Control
I,4,In House,200331_17,Control,27,APOE44,female,9/11/14,25.7,4/23/16,19.4,19,1.62,TRUE,200331-17:1,N58309_m00-m48,N58308,110,24,,19.4,Control
I,5,In House,200331_18,Control,28,APOE44,male,9/11/14,32.2,4/23/16,19.4,19,1.62,TRUE,200331-18:1,N58310_m00-m48,N58311,110,26,,19.4,Control
I,6,In House,200331_20,Control,30,APOE44,male,9/11/14,31.9,4/23/16,19.4,19,1.62,TRUE,200331-20:1,N58355_m00-m48,N58358,109,27,,19.4,Control
I,7,In House,200302_10,Control,8,APOE22,male,10/1/14,33.2,4/23/16,18.73,19,1.56,TRUE,200302-10:1,N58344_m00-m48,N58348,104,25,,18.73,Control
I,8,In House,200302_11,Control,9,APOE22,male,10/1/14,34.8,4/23/16,18.73,19,1.56,TRUE,200302-11:1,N58346_m00-m48,N58349,116,25,,18.73,Control
I,9,In House,200302_12,Control,10,APOE22,male,10/1/14,36.5,4/23/16,18.73,19,1.56,TRUE,200302-12:1,N58350_m00-m48,N58356,111,25,,18.73,Control
II,1,In House,200302_3,Control,1,APOE22,male,10/22/14,31,5/7/16,18.5,19,1.54,TRUE,200302-3:1,N58394_m00-m48,N58395,112,28,,18.5,Control
II,2,In House,200302_4,Control,2,APOE22,male,10/22/14,30.8,5/7/16,18.5,19,1.54,TRUE,200302-4:1,N58396_m00-m48,N58397,111,28,,18.5,Control
II,3,In House,200302_5,Control,3,APOE22,male,10/22/14,31.5,5/7/16,18.5,19,1.54,TRUE,200302-5:1,N58398_m00-m48,N58399,112,27,,18.5,Control
II,4,In House,200302_6,Control,4,APOE22,female,10/22/14,27.6,5/7/16,18.5,19,1.54,TRUE,200302-6:1,N58359_m00-m48,N58360,112,26,,18.5,Control
II,5,In House,200302_7,Control,5,APOE22,female,10/22/14,27.3,5/7/16,18.5,19,1.54,TRUE,200302-7:1,N58361_m00-m48,N58362,109,26,,18.5,Control
II,6,In House,200302_8,Control,6,APOE22,female,10/22/14,27.5,5/7/16,18.5,19,1.54,TRUE,200302-8:1,N58404_m00-m48,N58405,107,27,18.5,18.5,Control
II,7,In House,200302_9,Control,7,APOE22,female,10/22/14,28,5/7/16,18.5,19,1.54,TRUE,200302-9:1,N58402_m00-m48,N58403,105,27,18.5,18.5,Control
III,1,In House,200331_1,Control,11,APOE22,female,11/23/14,25.8,5/7/16,17.47,17,1.46,TRUE,200331-1:1,N58516_m00-m48,N58517,97,24,17.47,17.47,Control
III,2,In House,200331_2,Control,12,APOE22,female,11/23/14,25.6,5/28/16,18.17,18,1.51,TRUE,200331-2:1,N58608_m00-m48,N58609,88,25,18.17,18.17,Control
III,3,In House,200331_3,Control,13,APOE22,female,11/23/14,26.9,5/28/16,18.17,18,1.51,TRUE,200331-3:1,N58394_m00-m48,N58395,,,18.17,18.17,Control
III,4,In House,200331_4,Control,14,APOE22,female,11/23/14,27,5/28/16,18.17,18,1.51,TRUE,200331-4:1,N58606m00-m48,N58607,88,25,18.17,18.17,Control
III,5,In House,200331_5,Control,15,APOE22,female,11/23/14,25.9,5/28/16,18.17,18,1.51,TRUE,200331-5:1,N58604m00-m48,N58605,96,25,18.17,18.17,Control
III,6,In House,200331_7,Control,17,APOE22,female,11/23/14,29.3,5/28/16,18.17,18,1.51,TRUE,200331-7:1,N58512_m00-m48,N58513,93,26,18.17,18.17,Control
III,7,In House,200331_8,Control,18,APOE22,female,11/23/14,26.6,5/28/16,18.17,18,1.51,TRUE,200331-8:1,N58477_m00-m48,N58478,95,24,18.17,18.17,Control
III,8,In House,200331_9,Control,19,APOE22,female,11/23/14,27.9,5/28/16,18.17,18,1.51,TRUE,200331-9:1,N58500_m00-m48,N58501,100,25,18.17,18.17,Control
III,9,In House,200331_10,Control,20,APOE22,female,11/23/14,25.7,5/28/16,18.17,18,1.51,TRUE,200331-10:1,N58510_m00-m48,N58511,94,25,18.17,18.17,Control
III,10,In House,200331_11,Control,21,APOE22,male,11/23/14,28.6,5/28/16,18.17,18,1.51,TRUE,200331-11:1,N58406_m00-m48,N58407,104,27,18.17,18.17,Control
III,11,In House,200331_12,Control,22,APOE22,male,11/23/14,30.9,5/28/16,18.17,18,1.51,TRUE,200331-12:1,N58408_m00-m48,N58409,117,27,18.17,18.17,Control
III,12,In House,200331_13,Control,23,APOE22,male,11/23/14,26.6,5/28/16,18.17,18,1.51,TRUE,200331-13:1,N58514_m00-m48,N58515,95,27,18.17,18.17,Control
IV,1,In House,201015_1           ,Control,?,APOE33HN,male,12/11/15,32,10/14/16,10.1,10,0.84,FALSE,201015-1:1,N58655_m00-m48,N58667,99,24,10.1,10.1,Control
IX,1,In House,210624_1,Control,210503_1,APOE33,male,10/12/15,33.5,6/30/17,20.6,21,1.72,TRUE,210624-1:1,,,,,,20.6,Control
IX,2,In House,210624_2,Control,210503_2,APOE33,male,10/12/15,39,6/30/17,20.6,21,1.72,TRUE,210624-2:1,,,,,,20.6,Control
IX,3,In House,210624_3,Control,210503_3,APOE33,male,10/12/15,40.3,6/30/17,20.6,21,1.72,TRUE,210624-3:1,,,,,,20.6,Control
IX,4,In House,210624_4,Control,210503_4,APOE33,male,11/1/15,31.3,6/30/17,19.97,20,1.66,TRUE,210624-4:1,,,,,,19.97,Control
IX,5,In House,210624_5,Control,210503_5,APOE33,male,11/1/15,33.3,6/30/17,19.97,20,1.66,TRUE,210624-5:1,,,,,,19.97,Control
IX,6,In House,210624_6,Control,210503_6,APOE33,male,11/1/15,32.9,6/30/17,19.97,20,1.66,TRUE,210624-6:1,,,,,,19.97,Control
IX,7,In House,210624_7,Control,210503_7,APOE33,female,11/1/15,27.5,6/30/17,19.97,20,1.66,TRUE,210624-7:1,,,,,,19.97,Control
IX,8,In House,210624_8,Control,210503_8,APOE33,female,11/1/15,32.1,6/30/17,19.97,20,1.66,TRUE,210624-8:1,,,,,,19.97,Control
IX,9,In House,210624_9,Control,210503_9,APOE33,female,11/1/15,30.3,6/30/17,19.97,20,1.66,TRUE,210624-9:1,,,,,,19.97,Control
IX,10,In House,210624_10,Control,210503_11,APOE33,female,11/1/15,30.6,6/30/17,19.97,20,1.66,TRUE,210624-10:1,,,,,,19.97,Control
IX,11,In House,210624_11,Control,210503_12,APOE33,female,11/7/15,30.7,6/30/17,19.77,20,1.65,TRUE,210624-11:1,,,,,,19.77,Control
IX,12,In House,210624_12,Control,210503_13,APOE33,female,11/7/15,30.5,6/23/17,19.2,19,1.6,,210624-12:1,,,,,"Abdominal tumor.  6/30/21 die during image? Did not draw the blood. 7/1/21 dessection find uterus, ovary or kidney tumor. Save haed in formalin+0.5% ProHance",#VALUE!,Control
IX,13,In House,210624_13,Control,210503_14,APOE33,female,11/7/15,27.7,6/23/17,19.2,19,1.6,,210624-13:1,,,,,6/30/21 Die during image. Did not draw the blood. 7/1/21 Save haed in formalin+0.5% ProHance,#VALUE!,Control
IX,14,In House,210624_14,Control,210503_15,APOE33,female,11/7/15,36.5,6/30/17,19.77,20,1.65,TRUE,210624-14:1,,,,,,19.77,Control
IX,15,In House,210624_15,Control,210503_16,APOE33,female,11/7/15,30.1,6/23/17,19.2,19,1.6,,210624-15:1,,,,,"6/30/21 MRI find brain tumor. 7/1/21 wt 30.4g. Lip-I (IV) injection for Micro Ct , 7/6/21 Die during CT. Did not draw the blood. Save haed in formalin+0.5% ProHance",#VALUE!,Control
IX,16,In House,210624_16,Control,210503_17,APOE33,female,7/7/15,35.1,6/23/17,19.2,19,1.6,,210624-16:1,died during imaging,,,,7/1/21 Die during image. Did not draw the blood. 7/2/21 Save haed in formalin+0.5% ProHance,#VALUE!,Control
V,1,In House,210113_1           ,Control,201026_1,APOE44HN,female,4/28/15,28.4,1/14/17,20.53,21,1.71,TRUE,210113-1:1,N58706_m00-m48,N58707,105,27,20.53,20.53,Control
V,2,In House,210113_2           ,Control,201026_2,APOE44HN,female,8/11/15,31,1/14/17,17.1,17,1.43,TRUE,210113-2:1,N58708_m00-m48,N58709,107,26,17.1,17.1,Control
V,3,In House,210113_3           ,Control,201026_3,APOE44HN,male,11/29/15,31.8,1/14/17,13.5,14,1.13,FALSE,210113-3:1,N58712_m00-m48,N58713,116,27,13.5,13.5,Control
V,4,In House,210113_4           ,Control,201026_4,APOE44HN,male,4/28/15,28,1/14/17,20.53,21,1.71,TRUE,210113-4:1,N58714_m00-m48,N58715,111,27,20.53,20.53,Control
VI,1,In House,210216_1           ,Control,?,APOE22HN,male,6/15/16,29.5,2/15/17,8,8,0.67,FALSE,210216-1:1,,,,,8,8,Control
VII,1,In House,210118_1           ,HFD,201012_1,APOE44HN,male,1/14/16,36.4,3/1/17,13.57,14,1.13,FALSE,210118-1:1,N58735_m00-m48,N58739,102,26,13.57,13.57,HFD
VII,2,In House,210118_2           ,HFD,201012_2,APOE44HN,male,1/14/16,35.4,3/1/17,13.57,14,1.13,FALSE,210118-2:1,N58733_m00-m48,N58737,109,26,13.57,13.57,HFD
VII,3,In House,210118_3           ,HFD,201012_3,APOE44HN,male,1/20/16,46.8,3/1/17,13.37,13,1.11,FALSE,210118-3:1,N58734_m00-m48,N58738,113,25,13.37,13.37,HFD
VII,4,In House,210118_8           ,HFD,201012_8,APOE44HN,female,12/24/15,41.2,3/1/17,14.23,14,1.19,FALSE,210118-8:1,N58735_m00-m48,N58739,130,28,14.23,14.23,HFD
VII,5,In House,210118_10           ,HFD,201012_10,APOE44HN,female,12/24/15,34.5,3/1/17,14.23,14,1.19,FALSE,210118-10:1,N58740_m00-m48,N58741,102,26,14.23,14.23,HFD
VII,6,In House,210118_11           ,HFD,201012_11,APOE33HN,female,11/19/15,44.1,3/1/17,15.4,15,1.28,FALSE,210118-11:1,N58742_m00-m48,N58743,106,26,15.4,15.4,HFD
VII,7,In House,210118_12           ,HFD,201012_12,APOE33HN,female,12/8/15,36.6,3/1/17,14.77,15,1.23,FALSE,210118-12:1,N58745_m00-m48,N58746,106,26,14.77,14.77,HFD
VII,8,In House,21018_13           ,HFD,201012_13,APOE33HN,male,2/19/16,31.4,3/1/17,12.4,12,1.03,FALSE,210118-13:1,N58747_m00-m48,N58748,106,26,12.4,12.4,HFD
VII,9,In House,210118_15           ,HFD,201012_15,APOE33,female,12/31/15,42.5,3/1/17,14.03,14,1.17,FALSE,210118-15:1,N58749_m00-m48,N58750,106,26,14.03,14.03,HFD
VII,10,In House,210118_16           ,HFD,201012_16,APOE33,female,12/31/15,41.2,3/1/17,14.03,14,1.17,FALSE,210118-16:1,N58751_m00-m48,N58752,107,26,14.03,14.03,HFD
VII,11,In House,210118_4           ,HFD,201012_4,APOE44HN,female,12/24/15,38.8,3/14/17,14.67,15,1.22,FALSE,210118-4:1,N58779_m00-m48,N58782,104,27,14.67,14.67,HFD
VII,12,In House,210118_5           ,HFD,201012_5,APOE44HN,female,12/24/15,39.8,3/14/17,14.67,15,1.22,FALSE,210118-5:1,N58780_m00-m48,N58781,110,28,,14.67,HFD
VII,13,In House,210118_6           ,HFD,201012_6,APOE44HN,female,12/24/15,39.7,3/14/17,14.67,15,1.22,FALSE,210118-6:1,N58784_m00-m48,N58785,97,27,,14.67,HFD
VII,14,In House,210118_7           ,HFD,201012_7,APOE44HN,female,12/24/15,32.8,3/14/17,14.67,15,1.22,FALSE,210118-7:1,N58788_m00-m48,N58789,104,26,,14.67,HFD
VII,15,In House,210118_9           ,HFD,201012_9,APOE44HN,female,12/24/15,31.9,3/15/17,14.7,15,1.23,FALSE,210118-9:1,N58790_m00-m48,N58791,113,27,,14.7,HFD
VII,16,In House,210118_17           ,HFD,201012_17,APOE33,female,12/31/15,41.3,3/14/17,14.47,14,1.21,FALSE,210118-17:1,N58792_m00-m48,N58793,106,27,,14.47,HFD
VII,17,In House,210118_18           ,HFD,201012_18,APOE33,female,12/31/15,44.3,3/14/17,14.47,14,1.21,FALSE,210118-18:1,N58794_m00-m48,N58795,109,27,,14.47,HFD
VII,18,In House,210118_19           ,HFD,201012_19,APOE33,female,1/1/16,40.3,3/14/17,14.43,14,1.2,FALSE,210118-19:1,N58829_m00-m48,N58830,104,24,d,14.43,HFD
VII,19,In House,210118_20           ,HFD,201012_20,APOE33,female,1/1/16,46.9,3/14/17,14.43,14,1.2,FALSE,210118-20:1,N58813_m00-m48,N58814,106,27,,14.43,HFD
VII,20,In House,210118_21           ,HFD,201012_21,APOE33,female,1/1/16,33.8,3/15/17,14.47,14,1.21,FALSE,210118-21:1,N58815_m00-m48,,104,27,d,14.47,HFD
VII,21,In House,210118_22           ,HFD,201012_22,APOE33,male,1/1/16,46,3/15/17,14.47,14,1.21,FALSE,210118-22:1,N58821_m00-m48,N58822,105,26,d,14.47,HFD
VII,22,In House,210118_23           ,HFD,201012_23,APOE33,male,1/1/16,42,3/15/17,14.47,14,1.21,FALSE,210118-23:1,N58819_m00-m48,,107,26,d,14.47,HFD
VII,23,In House,210118_24           ,HFD,201012_24,APOE33,male,12/31/15,43.8,3/15/17,14.5,15,1.21,FALSE,210118-24:1,N58831_m00-m48,N58832,108,27,d,14.5,HFD
VII,24,In House,210118_25           ,HFD,201012_25,APOE33,male,12/31/15,43.9,3/15/17,14.5,15,1.21,FALSE,210118-25:1,N58851_m00-m48,N58852,111,28,d,14.5,HFD
VII,25,In House,210118_26           ,HFD,201012_26,APOE33,male,12/31/15,54,3/15/17,14.5,15,1.21,FALSE,210118-26:1,N58853_m00-m48,N58854,100,29,d,14.5,HFD
VII,26,In House,210118_27           ,HFD,201012_27,APOE33,male,12/31/15,43.1,3/15/17,14.5,15,1.21,FALSE,210118-27:1,N58855_m00-m48,N58856,106,26,d,14.5,HFD
VIII,1,In House,210201_2,Control,210201_2,APOE33,female,1/1/16,31.2,6/8/17,17.23,17,1.44,TRUE,210201-2:1,N59003-m00-m48,N59004,64,26,,17.23,Control
VIII,2,In House,210201_3,Control,210201_3,APOE33,female,1/1/16,34.6,6/8/17,17.23,17,1.44,TRUE,210201-3:1,,,,,,17.23,Control
VIII,3,In House,210201_4,Control,210201_4,APOE33,female,1/1/16,33.6,6/8/17,17.23,17,1.44,TRUE,210201-4:1,,,,,,17.23,Control
VIII,4,In House,210201_5,Control,210201_5,APOE33,female,1/1/16,28.5,6/8/17,17.23,17,1.44,TRUE,210201-5:1,,,,,,17.23,Control
VIII,5,In House,210201_6,Control,210201_6,APOE44,female,3/3/16,26.3,6/2/17,14.97,15,1.25,FALSE,210201-6:1,N58913_m00-m48,N58914,112,26,,14.97,Control
VIII,6,In House,210201_7,Control,210201_7,APOE44,female,3/3/16,25.7,6/2/17,14.97,15,1.25,FALSE,210201-7:1,N58915_m00-m48,N58916,110,25,,14.97,Control
VIII,7,In House,210201_8,Control,210201_8,APOE44,female,3/3/16,25.2,6/2/17,14.97,15,1.25,FALSE,210201-8:1,N58909_m00-m48,N58910,113,25,AD,14.97,Control
VIII,8,In House,210201_9,Control,210201_9,APOE44,female,3/3/16,25.6,6/2/17,14.97,15,1.25,FALSE,210201-9:1,N58906_m00-m48,N58907,113,25,AD,14.97,Control
VIII,9,In House,210201_10,Control,210201_10,APOE44,female,3/3/16,24.9,6/2/17,14.97,15,1.25,FALSE,210201-10:1,N58883_m00-m48,N58884,107,26,d,14.97,Control
VIII,10,In House,210201_11,Control,210201_11,APOE44,male,3/17/16,29.2,5/26/17,14.3,14,1.19,FALSE,210201-11:1,N58887_m00-m48,N58888,104,24,D,14.3,Control
VIII,11,In House,210201_12,Control,210201_12,APOE44,male,3/17/16,30.9,5/26/17,14.3,14,1.19,FALSE,210201-12:1,N58885_m00-m48,N58886,107,25,D,14.3,Control
VIII,12,In House,210201_13,Control,210201_13,APOE44,male,3/17/16,27.9,5/26/17,14.3,14,1.19,FALSE,210201-13:1,N58919,N58920,,,,14.3,Control
VIII,13,In House,210201_14,Control,210201_14,APOE44,male,3/3/16,30.3,5/26/17,14.77,15,1.23,FALSE,210201-14:1,,,,,,14.77,Control
VIII,14,In House,210201_15,Control,210201_15,APOE44,male,3/3/16,31.2,5/26/17,14.77,15,1.23,FALSE,210201-15:1,N58879_m00-m48,N58880,93,25,D,14.77,Control
VIII,15,In House,210201_16,Control,210201_16,APOE44,male,3/3/16,34.1,5/26/17,14.77,15,1.23,FALSE,210201-16:1,N58881_m00-m48,N58882,102,25,D,14.77,Control
VIII,16,In House,210201_17,Control,210201_17,APOE44,male,1/7/16,32.8,6/2/17,16.83,17,1.4,TRUE,210201-17:1,N58889_m00-m48,N58890,109,27,AD,16.83,Control
VIII,17,In House,210201_18,Control,210201_18,APOE44,male,1/7/16,30.6,6/2/17,16.83,17,1.4,TRUE,210201-18:1,,,,,,16.83,Control
VIII,18,In House,210201_19,Control,210201_19,APOE22HN,male,3/14/16,27,5/24/17,14.33,14,1.19,FALSE,210201-19:1,N58877_m00-m48,N58878,106,28,D,14.33,Control
VIII,19,In House,210222_1,Control,210222_1,APOE33HN,female,3/9/16,29.8,5/24/17,14.5,15,1.21,FALSE,210222-1:1,,,,,,14.5,Control
VIII,20,In House,210222_2,Control,210222_2,APOE33HN,female,3/9/16,28.9,5/24/17,14.5,15,1.21,FALSE,210222-2:1,,,,,,14.5,Control
VIII,21,In House,210222_3,Control,210222_3,APOE33HN,male,3/9/16,32.3,5/24/17,14.5,15,1.21,FALSE,210222-3:1,,,,,,14.5,Control
VIII,22,In House,210222_4,Control,210222_4,APOE33HN,male,3/9/16,35.9,5/24/17,14.5,15,1.21,FALSE,210222-4:1,,,,,,14.5,Control
VIII,23,In House,210222_5,Control,210222_5,APOE33HN,male,3/9/16,32.8,5/24/17,14.5,15,1.21,FALSE,210222-5:1,,,,,,14.5,Control
VIII,24,In House,210222_6,Control,210222_6,APOE33HN,male,3/9/16,33.8,5/24/17,14.5,15,1.21,FALSE,210222-6:1,,,,,,14.5,Control
VIII,25,In House,210222_7,Control,210222_7,APOE33,female,2/22/16,40.9,6/7/17,15.5,16,1.29,FALSE,210222-7:1,N58917,N58918,,,,15.5,Control
VIII,26,In House,210222_8,Control,210222_8,APOE33,female,2/22/16,29,6/7/17,15.5,16,1.29,FALSE,210222-8:1,N58995-m00-m48,N58996,,,,15.5,Control
VIII,27,In House,210222_9,Control,210222_9,APOE33,female,2/22/16,33.2,6/7/17,15.5,16,1.29,FALSE,210222-9:1,N59005-m00-m48,N59006,103,27,,15.5,Control
VIII,28,In House,210222_10,Control,210222_10,APOE33,female,3/7/16,28.9,6/7/17,15,15,1.25,FALSE,210222-10:1,,,,,,15,Control
VIII,29,In House,210222_11,Control,210222_11,APOE33,female,3/7/16,28.1,6/7/17,15,15,1.25,FALSE,210222-11:1,,,,,,15,Control
VIII,30,In House,210222_12,Control,210222_12,APOE33,female,3/7/16,26.8,6/8/17,15.03,15,1.25,FALSE,210222-12:1,,,,,,15.03,Control
VIII,31,In House,210222_13,Control,210222_13,APOE33,female,3/7/16,33.8,6/8/17,15.03,15,1.25,FALSE,210222-13:1,,,,,,15.03,Control
VIII,32,In House,210222_14,Control,210222_14,APOE33,male,3/7/16,34.6,6/8/17,15.03,15,1.25,FALSE,210222-14:1,N59065_m00-m48,N59064,100,26,,15.03,Control
VIII,33,In House,210222_15,Control,210222_15,APOE33,male,3/7/16,35.7,6/8/17,15.03,15,1.25,FALSE,210222-15:1,N59066_m00-m48,N59067,107,27,,15.03,Control
VIII,34,In House,210222_16,Control,210222_16,APOE22,male,2/16/16,/, 6/7/21                                                       Dying during image                                             by Dr. Badea                       ,,0,#VALUE!,,210222-16:1,N59080,N59081,79,20,Did not draw the blood ,#VALUE!,Control
VIII,35,In House,210222_17,Control,210222_17,APOE22,female,2/16/16,28.3,6/7/17,15.7,16,1.31,FALSE,210222-17:1,,,,,,15.7,Control
X,1,In House,210730_4,HFD,210112_2,APOE44HN,female,4/5/16,56.2,7/30/21                                                 Micro Ct image                                           8/17/21                                                                        ,,0,#VALUE!,,210730-4:1,,,,,,#VALUE!,HFD
X,2,In House,210817_1,HFD,210112_4,APOE44HN,female,4/5/16,52.6,8/16/17,16.37,16,1.36,TRUE,210817-1:1,N58948_m00-m48,N58949,114,27,,16.37,HFD
X,3,In House,210817_2,Control,210112_5,APOE44HN,male,4/14/16,28.4,8/16/17,16.07,16,1.34,TRUE,210817-2:1,N59072_m00-m48,N59073,109,27,,16.07,Control
X,4,In House,210817_3,Control,210112_6,APOE44HN,male,4/14/16,29.5,8/16/17,16.07,16,1.34,TRUE,210817-3:1,N58935_m00-m48,N58936,111,28,,16.07,Control
X,5,In House,210817_4,Control,210112_7,APOE44HN,male,4/14/16,33.4,8/16/17,16.07,16,1.34,TRUE,210817-4:1,,,,,,16.07,Control
X,6,In House,210817_5,HFD,210112_9,APOE44HN,male,4/20/16,45.3,8/16/17,15.87,16,1.32,FALSE,210817-5:1,N58946_m00-m48,N58947,117,28,,15.87,HFD
X,7,In House,210730_3,HFD,210112_11,APOE44HN,male,4/20/16,51.1,8/16/17,15.87,16,1.32,FALSE,210730-3:1,,,,,,15.87,HFD
X,8,In House,210817_6,Control,210112_14,APOE44HN,female,4/20/16,30.2,8/16/17,15.87,16,1.32,FALSE,210817-6:1,,,,,,15.87,Control
X,9,In House,210817_7,Control,210112_15,APOE44HN,female,4/20/16,26.5,8/16/17,15.87,16,1.32,FALSE,210817-7:1,N59022_m00-m48,N59023,,,,15.87,Control
