,Date :,9/28/2022 12:40,,,,,,,,,,,
220905-12,VF092822_104708,Day2_Trial6,Chamber2,,,Day2_Exploration,17,32.767,7.28,7.28,93.18,0,1152
,,,,,,,,,,,,,
220905-13,VF092822_105820,Day2_Trial7,Chamber1,,,Day2_Acclimation,21,24.067,5.35,13.37,208.88,0,2276
220905-13,VF092822_105820,Day2_Trial7,Chamber1,,,Day2_CSTone,56,212.867,47.3,59.13,14.85,0,719
220905-13,VF092822_105820,Day2_Trial7,Chamber1,,,Day2_Exploration,25,63.267,14.06,14.06,11.99,0,212
,,,,,,,,,,,,,
220905-14,VF092822_105820,Day2_Trial7,Chamber2,,,Day2_Acclimation,26,60.533,13.45,33.63,180.74,0,2083
220905-14,VF092822_105820,Day2_Trial7,Chamber2,,,Day2_CSTone,62,199.367,44.3,55.38,24.36,0,1042
220905-14,VF092822_105820,Day2_Trial7,Chamber2,,,Day2_Exploration,23,49.833,11.07,11.07,45.07,0,1042
,,,,,,,,,,,,,
220905-15,VF092822_110951,Day2_Trial8,Chamber1,,,Day2_Acclimation,13,17.267,3.84,9.59,228.39,0,1702
220905-15,VF092822_110951,Day2_Trial8,Chamber1,,,Day2_CSTone,46,161.8,35.96,44.94,52.17,0,941
220905-15,VF092822_110951,Day2_Trial8,Chamber1,,,Day2_Exploration,16,38.167,8.48,8.48,102.92,0,941
,,,,,,,,,,,,,
220905-16,VF092822_110951,Day2_Trial8,Chamber2,,,Day2_Acclimation,39,40.767,9.06,22.65,167.7,0,1876
220905-16,VF092822_110951,Day2_Trial8,Chamber2,,,Day2_CSTone,80,190.033,42.23,52.79,16.12,0,321
220905-16,VF092822_110951,Day2_Trial8,Chamber2,,,Day2_Exploration,27,54.867,12.19,12.19,23.99,0,321
,,,,,,,,,,,,,
220905-17,VF092822_112102,Day2_Trial9,Chamber1,,,Day2_Acclimation,1,1.2,0.27,0.67,345.42,0,1731
220905-17,VF092822_112102,Day2_Trial9,Chamber1,,,Day2_CSTone,41,146.533,32.56,40.7,98.05,0,1834
220905-17,VF092822_112102,Day2_Trial9,Chamber1,,,Day2_Exploration,3,5.367,1.19,1.19,267.28,0,1834
,,,,,,,,,,,,,
220905-18,VF092822_112102,Day2_Trial9,Chamber2,,,Day2_Acclimation,36,27.233,6.05,15.13,116.77,0,1472
220905-18,VF092822_112102,Day2_Trial9,Chamber2,,,Day2_CSTone,88,98.3,21.84,27.31,79.34,0,1182
220905-18,VF092822_112102,Day2_Trial9,Chamber2,,,Day2_Exploration,9,9.267,2.06,2.06,128.36,0,929
,,,,,,,,,,,,,
220905-19,VF092822_113213,Day2_Trial10,Chamber1,,,Day2_Acclimation,18,26.633,5.92,14.8,231.82,0,2408
220905-19,VF092822_113213,Day2_Trial10,Chamber1,,,Day2_CSTone,26,19.833,4.41,5.51,132.86,0,1664
220905-19,VF092822_113213,Day2_Trial10,Chamber1,,,Day2_Exploration,7,5.033,1.12,1.12,188.95,0,1664
,,,,,,,,,,,,,
220905-20,VF092822_113213,Day2_Trial10,Chamber2,,,Day2_Acclimation,14,9.167,2.04,5.09,183.55,0,1458
220905-20,VF092822_113213,Day2_Trial10,Chamber2,,,Day2_CSTone,50,98,21.78,27.22,89.79,0,1000
220905-20,VF092822_113213,Day2_Trial10,Chamber2,,,Day2_Exploration,8,9.467,2.1,2.1,134.9,0,1000
,,,,,,,,,,,,,
220905-21,VF092822_114309,Day2_Trial11,Chamber1,,,Day2_Acclimation,20,25.1,5.58,13.94,205.78,0,1468
220905-21,VF092822_114309,Day2_Trial11,Chamber1,,,Day2_CSTone,62,159.233,35.39,44.23,47.67,0,914
220905-21,VF092822_114309,Day2_Trial11,Chamber1,,,Day2_Exploration,27,28.833,6.41,6.41,88.36,0,914
,,,,,,,,,,,,,
220905-22,VF092822_114309,Day2_Trial11,Chamber2,,,Day2_Acclimation,14,12.933,2.87,7.19,149.19,0,1404
220905-22,VF092822_114309,Day2_Trial11,Chamber2,,,Day2_CSTone,46,92.233,20.5,25.62,112.55,0,1732
220905-22,VF092822_114309,Day2_Trial11,Chamber2,,,Day2_Exploration,6,7.967,1.77,1.77,146.55,0,1732
,,,,,,,,,,,,,
220905-23,VF092822_115420,Day2_Trial12,Chamber1,,,Day2_Acclimation,14,12.367,2.75,6.87,182.36,0,1332
220905-23,VF092822_115420,Day2_Trial12,Chamber1,,,Day2_CSTone,51,89.333,19.85,24.81,128.48,0,1173
220905-23,VF092822_115420,Day2_Trial12,Chamber1,,,Day2_Exploration,10,10.533,2.34,2.34,201.08,0,1173
,,,,,,,,,,,,,
220905-24,VF092822_115420,Day2_Trial12,Chamber2,,,Day2_Acclimation,37,35.567,7.9,19.76,135.45,0,993
220905-24,VF092822_115420,Day2_Trial12,Chamber2,,,Day2_CSTone,72,145,32.22,40.28,74.49,0,1354
220905-24,VF092822_115420,Day2_Trial12,Chamber2,,,Day2_Exploration,10,11.067,2.46,2.46,194.44,0,1354
,,,,,,,,,,,,,
220905-25,VF092822_120657,Day1_Trial13,Chamber1,,,Day2_Acclimation,6,5.067,1.13,2.81,230.29,0,1366
220905-25,VF092822_120657,Day1_Trial13,Chamber1,,,Day2_CSTone,54,145.267,32.28,40.35,83.67,0,1682
220905-25,VF092822_120657,Day1_Trial13,Chamber1,,,Day2_Exploration,2,4,0.89,0.89,206.48,0,1682
,,,,,,,,,,,,,
220905-26,VF092822_120657,Day1_Trial13,Chamber2,,,Day2_Acclimation,9,6.067,1.35,3.37,162.47,0,1589
220905-26,VF092822_120657,Day1_Trial13,Chamber2,,,Day2_CSTone,43,42.1,9.36,11.69,118.44,0,1602
220905-26,VF092822_120657,Day1_Trial13,Chamber2,,,Day2_Exploration,5,3.3,0.73,0.73,143.93,0,1322
,,,,,,,,,,,,,
220905-27,VF092822_121835,Day2_Trial14,Chamber1,,,Day2_Acclimation,9,5.033,1.12,2.8,295.1,0,2233
220905-27,VF092822_121835,Day2_Trial14,Chamber1,,,Day2_CSTone,70,96.567,21.46,26.82,101.09,0,1543
220905-27,VF092822_121835,Day2_Trial14,Chamber1,,,Day2_Exploration,10,7.867,1.75,1.75,163.33,0,1543
,,,,,,,,,,,,,
220905-28,VF092822_121835,Day2_Trial14,Chamber2,,,Day2_Acclimation,4,3.7,0.82,2.06,300.45,0,2570
220905-28,VF092822_121835,Day2_Trial14,Chamber2,,,Day2_CSTone,91,121.6,27.02,33.78,58.19,0,936
220905-28,VF092822_121835,Day2_Trial14,Chamber2,,,Day2_Exploration,17,14,3.11,3.11,105.85,0,793
,,,,,,,,,,,,,
220905-29,VF092822_122937,Day2_Trial15,Chamber1,,,Day2_Acclimation,2,0.933,0.21,0.52,416.62,0,2214
220905-29,VF092822_122937,Day2_Trial15,Chamber1,,,Day2_CSTone,48,51.8,11.51,14.39,162.95,0,1847
220905-29,VF092822_122937,Day2_Trial15,Chamber1,,,Day2_Exploration,6,8.1,1.8,1.8,160.6,0,1573
