,Date :,3/8/2023 11:43,,,,,,,,,,,
230213-12,VF030823_104544,Day2_Trial6,Chamber2,,,Day2_Exploration,17,23.267,5.17,5.17,176.26,0,1613
,,,,,,,,,,,,,
230213-13,VF030823_105619,Day2_Trial7,Chamber1,,,Day2_Acclimation,17,18.2,4.04,10.11,201.92,0,2031
230213-13,VF030823_105619,Day2_Trial7,Chamber1,,,Day2_CSTone,87,141.533,31.45,39.31,56.33,0,1246
230213-13,VF030823_105619,Day2_Trial7,Chamber1,,,Day2_Exploration,21,37.5,8.33,8.33,83.39,0,856
,,,,,,,,,,,,,
230213-14,VF030823_105619,Day2_Trial7,Chamber2,,,Day2_Acclimation,17,19.4,4.31,10.78,275.5,0,2634
230213-14,VF030823_105619,Day2_Trial7,Chamber2,,,Day2_CSTone,58,173.8,38.62,48.28,70.13,0,1865
230213-14,VF030823_105619,Day2_Trial7,Chamber2,,,Day2_Exploration,14,30.867,6.86,6.86,167.54,0,1865
,,,,,,,,,,,,,
230213-15,VF030823_110750,Day2_Trial8,Chamber1,,,Day2_Acclimation,43,35.667,7.93,19.81,162.16,0,1265
230213-15,VF030823_110750,Day2_Trial8,Chamber1,,,Day2_CSTone,90,162.633,36.14,45.18,59.81,0,2720
230213-15,VF030823_110750,Day2_Trial8,Chamber1,,,Day2_Exploration,19,38.6,8.58,8.58,138.21,0,2720
,,,,,,,,,,,,,
230213-16,VF030823_110750,Day2_Trial8,Chamber2,,,Day2_Acclimation,37,51.333,11.41,28.52,145.77,0,1320
230213-16,VF030823_110750,Day2_Trial8,Chamber2,,,Day2_CSTone,78,157.967,35.1,43.88,73.33,0,1414
230213-16,VF030823_110750,Day2_Trial8,Chamber2,,,Day2_Exploration,18,35.4,7.87,7.87,140.6,0,1414
,,,,,,,,,,,,,
230213-17,VF030823_111906,Day2_Trial9,Chamber1,,,Day2_Acclimation,13,9.733,2.16,5.41,334.46,0,2071
230213-17,VF030823_111906,Day2_Trial9,Chamber1,,,Day2_CSTone,56,117.033,26.01,32.51,112.21,0,2238
230213-17,VF030823_111906,Day2_Trial9,Chamber1,,,Day2_Exploration,16,10.5,2.33,2.33,218.71,0,2238
,,,,,,,,,,,,,
230213-18,VF030823_111906,Day2_Trial9,Chamber2,,,Day2_Acclimation,24,22.2,4.93,12.33,271.46,0,1812
230213-18,VF030823_111906,Day2_Trial9,Chamber2,,,Day2_CSTone,46,191.667,42.59,53.24,42.58,0,1494
230213-18,VF030823_111906,Day2_Trial9,Chamber2,,,Day2_Exploration,13,30.867,6.86,6.86,116.01,0,1494
,,,,,,,,,,,,,
230213-19,VF030823_113112,Day2_Trial10,Chamber1,,,Day2_Acclimation,27,23.233,5.16,12.91,212.71,0,1606
230213-19,VF030823_113112,Day2_Trial10,Chamber1,,,Day2_CSTone,60,95.933,21.32,26.65,128.36,0,1552
230213-19,VF030823_113112,Day2_Trial10,Chamber1,,,Day2_Exploration,23,36.767,8.17,8.17,86.2,0,1027
,,,,,,,,,,,,,
230213-20,VF030823_113112,Day2_Trial10,Chamber2,,,Day2_Acclimation,23,23.567,5.24,13.09,254.17,0,2481
230213-20,VF030823_113112,Day2_Trial10,Chamber2,,,Day2_CSTone,65,96.867,21.53,26.91,92.71,0,979
230213-20,VF030823_113112,Day2_Trial10,Chamber2,,,Day2_Exploration,20,19.8,4.4,4.4,131.9,0,939
