,Date :,12/21/2022 11:43,,,,,,,,,,,
221128-12,VF122122_104807,Day2_Trial6,Chamber2,,,Day2_Exploration,15,46.6,10.36,10.36,45.55,0,500
,,,,,,,,,,,,,
221128-13,VF122122_105837,Day2_Trial7,Chamber1,,,Day2_Acclimation,18,15.133,3.36,8.41,236.06,0,2134
221128-13,VF122122_105837,Day2_Trial7,Chamber1,,,Day2_CSTone,77,124.6,27.69,34.61,88.76,0,1427
221128-13,VF122122_105837,Day2_Trial7,Chamber1,,,Day2_Exploration,11,12.4,2.76,2.76,193.79,0,1427
,,,,,,,,,,,,,
221128-14,VF122122_105837,Day2_Trial7,Chamber2,,,Day2_Acclimation,44,28.7,6.38,15.94,122.5,0,1595
221128-14,VF122122_105837,Day2_Trial7,Chamber2,,,Day2_CSTone,54,65.6,14.58,18.22,196.26,0,2643
221128-14,VF122122_105837,Day2_Trial7,Chamber2,,,Day2_Exploration,5,3.067,0.68,0.68,292.85,0,1773
,,,,,,,,,,,,,
221128-15,VF122122_110935,Day2_Trial8,Chamber1,,,Day2_Acclimation,19,12.3,2.73,6.83,277.61,0,2240
221128-15,VF122122_110935,Day2_Trial8,Chamber1,,,Day2_CSTone,48,107.467,23.88,29.85,126.71,0,1537
221128-15,VF122122_110935,Day2_Trial8,Chamber1,,,Day2_Exploration,3,2.567,0.57,0.57,235.69,0,1537
,,,,,,,,,,,,,
221128-16,VF122122_110935,Day2_Trial8,Chamber2,,,Day2_Acclimation,3,1.733,0.39,0.96,547.94,0,2715
221128-16,VF122122_110935,Day2_Trial8,Chamber2,,,Day2_CSTone,50,90.3,20.07,25.08,146.56,0,1824
221128-16,VF122122_110935,Day2_Trial8,Chamber2,,,Day2_Exploration,16,22.9,5.09,5.09,134.21,0,1151
,,,,,,,,,,,,,
221128-17,VF122122_112053,Day2_Trial9,Chamber1,,,Day2_Acclimation,46,50.5,11.22,28.06,124.56,0,1611
221128-17,VF122122_112053,Day2_Trial9,Chamber1,,,Day2_CSTone,72,115.867,25.75,32.19,115.14,0,5309
221128-17,VF122122_112053,Day2_Trial9,Chamber1,,,Day2_Exploration,23,26.4,5.87,5.87,94.04,0,1306
,,,,,,,,,,,,,
221128-18,VF122122_112053,Day2_Trial9,Chamber2,,,Day2_Acclimation,61,49.867,11.08,27.7,151.59,0,1587
221128-18,VF122122_112053,Day2_Trial9,Chamber2,,,Day2_CSTone,62,99.167,22.04,27.55,109.46,0,1179
221128-18,VF122122_112053,Day2_Trial9,Chamber2,,,Day2_Exploration,11,12,2.67,2.67,183.95,0,1074
,,,,,,,,,,,,,
221128-19,VF122122_113118,Day2_Trial10,Chamber1,,,Day2_Acclimation,45,37.933,8.43,21.07,86.15,0,953
221128-19,VF122122_113118,Day2_Trial10,Chamber1,,,Day2_CSTone,65,86.3,19.18,23.97,89.36,0,2077
221128-19,VF122122_113118,Day2_Trial10,Chamber1,,,Day2_Exploration,18,26.067,5.79,5.79,66.4,0,793
,,,,,,,,,,,,,
221128-20,VF122122_113118,Day2_Trial10,Chamber2,,,Day2_Acclimation,10,6.333,1.41,3.52,188.53,0,1771
221128-20,VF122122_113118,Day2_Trial10,Chamber2,,,Day2_CSTone,44,37.4,8.31,10.39,158.91,0,2708
221128-20,VF122122_113118,Day2_Trial10,Chamber2,,,Day2_Exploration,19,12.567,2.79,2.79,183.76,0,2708
