,Date :,12/19/2022 11:55,,,,,,,,,,,
221128-7,VF121922_102604,Day0_Trial4,Chamber1,,,Shock 1,0,0,0,0,1045.02,163,2632
221128-7,VF121922_102604,Day0_Trial4,Chamber1,,,Shock 2,0,0,0,0,1005.67,0,3585
221128-7,VF121922_102604,Day0_Trial4,Chamber1,,,Shock 3,0,0,0,0,1208.53,12,4830
,,,,,,,,,,,,,
221128-8,VF121922_102604,Day0_Trial4,Chamber2,,,Sound 1,3,1.333,0.26,4.44,137.62,0,1334
221128-8,VF121922_102604,Day0_Trial4,Chamber2,,,Sound 2,7,4.1,0.79,13.67,84.4,0,844
221128-8,VF121922_102604,Day0_Trial4,Chamber2,,,Sound 3,13,18.033,3.49,60.11,13.99,0,236
221128-8,VF121922_102604,Day0_Trial4,Chamber2,,,Shock 1,0,0,0,0,747.28,55,2125
221128-8,VF121922_102604,Day0_Trial4,Chamber2,,,Shock 2,0,0,0,0,676.87,60,3307
221128-8,VF121922_102604,Day0_Trial4,Chamber2,,,Shock 3,0,0,0,0,1101.5,0,7297
,,,,,,,,,,,,,
221128-9,VF121922_103853,Day0_Trial5,Chamber1,,,Sound 1,0,0,0,0,553.96,2,2211
221128-9,VF121922_103853,Day0_Trial5,Chamber1,,,Sound 2,3,5.233,1.01,17.44,214.65,0,906
221128-9,VF121922_103853,Day0_Trial5,Chamber1,,,Sound 3,2,6.667,1.29,22.22,123.54,0,1096
221128-9,VF121922_103853,Day0_Trial5,Chamber1,,,Shock 1,0,0,0,0,1390.18,48,4303
221128-9,VF121922_103853,Day0_Trial5,Chamber1,,,Shock 2,0,0,0,0,1448.07,1,2624
221128-9,VF121922_103853,Day0_Trial5,Chamber1,,,Shock 3,0,0,0,0,1796.02,0,6697
,,,,,,,,,,,,,
221128-10,VF121922_103853,Day0_Trial5,Chamber2,,,Sound 1,0,0,0,0,218.11,0,1341
221128-10,VF121922_103853,Day0_Trial5,Chamber2,,,Sound 2,3,2.433,0.47,8.11,109.24,0,778
221128-10,VF121922_103853,Day0_Trial5,Chamber2,,,Sound 3,11,22.433,4.35,74.78,6.94,0,154
221128-10,VF121922_103853,Day0_Trial5,Chamber2,,,Shock 1,0,0,0,0,467.05,1,1769
221128-10,VF121922_103853,Day0_Trial5,Chamber2,,,Shock 2,0,0,0,0,641.15,60,2411
221128-10,VF121922_103853,Day0_Trial5,Chamber2,,,Shock 3,0,0,0,0,692.3,0,2272
,,,,,,,,,,,,,
221128-11,VF121922_105149,Day0_Trial6,Chamber1,,,Sound 1,0,0,0,0,475.68,0,1796
221128-11,VF121922_105149,Day0_Trial6,Chamber1,,,Sound 2,7,9.767,1.89,32.56,236.74,0,1689
221128-11,VF121922_105149,Day0_Trial6,Chamber1,,,Sound 3,4,25.933,5.03,86.44,7.45,0,217
221128-11,VF121922_105149,Day0_Trial6,Chamber1,,,Shock 1,0,0,0,0,1203.62,161,2196
221128-11,VF121922_105149,Day0_Trial6,Chamber1,,,Shock 2,0,0,0,0,1184.52,263,2936
221128-11,VF121922_105149,Day0_Trial6,Chamber1,,,Shock 3,0,0,0,0,1599.82,0,4729
,,,,,,,,,,,,,
221128-12,VF121922_105149,Day0_Trial6,Chamber2,,,Sound 1,1,0.367,0.07,1.22,222.44,0,1177
221128-12,VF121922_105149,Day0_Trial6,Chamber2,,,Sound 2,8,8.5,1.65,28.33,43.12,0,516
221128-12,VF121922_105149,Day0_Trial6,Chamber2,,,Sound 3,3,16.367,3.17,54.56,25.1,0,253
221128-12,VF121922_105149,Day0_Trial6,Chamber2,,,Shock 1,0,0,0,0,942.77,56,3580
221128-12,VF121922_105149,Day0_Trial6,Chamber2,,,Shock 2,0,0,0,0,983.45,0,4908
221128-12,VF121922_105149,Day0_Trial6,Chamber2,,,Shock 3,0,0,0,0,1010.05,10,3786
,,,,,,,,,,,,,
221128-13,VF121922_110444,Day0_Trial7,Chamber1,,,Sound 1,0,0,0,0,384.03,0,1999
221128-13,VF121922_110444,Day0_Trial7,Chamber1,,,Sound 2,11,8.733,1.69,29.11,74.85,0,919
221128-13,VF121922_110444,Day0_Trial7,Chamber1,,,Sound 3,17,19.7,3.82,65.67,20.25,0,365
221128-13,VF121922_110444,Day0_Trial7,Chamber1,,,Shock 1,0,0,0,0,1281.52,436,3712
221128-13,VF121922_110444,Day0_Trial7,Chamber1,,,Shock 2,0,0,0,0,1611.75,1,4541
221128-13,VF121922_110444,Day0_Trial7,Chamber1,,,Shock 3,0,0,0,0,1649.13,0,4062
,,,,,,,,,,,,,
221128-14,VF121922_110444,Day0_Trial7,Chamber2,,,Sound 1,4,1.933,0.37,6.44,180.35,0,1089
221128-14,VF121922_110444,Day0_Trial7,Chamber2,,,Sound 2,17,14.233,2.76,47.44,24.01,0,292
221128-14,VF121922_110444,Day0_Trial7,Chamber2,,,Sound 3,18,18.4,3.57,61.33,24.22,0,258
221128-14,VF121922_110444,Day0_Trial7,Chamber2,,,Shock 1,0,0,0,0,534.9,62,2111
221128-14,VF121922_110444,Day0_Trial7,Chamber2,,,Shock 2,0,0,0,0,456.33,3,1974
221128-14,VF121922_110444,Day0_Trial7,Chamber2,,,Shock 3,0,0,0,0,633.15,0,2452
,,,,,,,,,,,,,
221128-15,VF121922_111720,Day0_Trial8,Chamber1,,,Sound 1,0,0,0,0,514.55,0,2124
221128-15,VF121922_111720,Day0_Trial8,Chamber1,,,Sound 2,4,4.467,0.87,14.89,226.03,0,1188
221128-15,VF121922_111720,Day0_Trial8,Chamber1,,,Sound 3,7,12.067,2.34,40.22,213.53,0,2481
221128-15,VF121922_111720,Day0_Trial8,Chamber1,,,Shock 1,0,0,0,0,1150.12,128,3047
221128-15,VF121922_111720,Day0_Trial8,Chamber1,,,Shock 2,0,0,0,0,1340.2,160,4375
221128-15,VF121922_111720,Day0_Trial8,Chamber1,,,Shock 3,0,0,0,0,1509.88,0,3496
,,,,,,,,,,,,,
221128-16,VF121922_111720,Day0_Trial8,Chamber2,,,Sound 1,4,1.567,0.3,5.22,173.12,0,1103
221128-16,VF121922_111720,Day0_Trial8,Chamber2,,,Sound 2,9,9.967,1.93,33.22,56.53,0,462
221128-16,VF121922_111720,Day0_Trial8,Chamber2,,,Sound 3,12,20.467,3.97,68.22,13.46,0,236
221128-16,VF121922_111720,Day0_Trial8,Chamber2,,,Shock 1,0,0,0,0,830.3,106,2792
221128-16,VF121922_111720,Day0_Trial8,Chamber2,,,Shock 2,0,0,0,0,602.85,0,2267
221128-16,VF121922_111720,Day0_Trial8,Chamber2,,,Shock 3,0,0,0,0,666.6,0,2016
,,,,,,,,,,,,,
221128-17,VF121922_112929,Day0_Trial9,Chamber1,,,Sound 1,0,0,0,0,460.41,10,1393
221128-17,VF121922_112929,Day0_Trial9,Chamber1,,,Sound 2,7,5.167,1,17.22,256.63,0,1300
221128-17,VF121922_112929,Day0_Trial9,Chamber1,,,Sound 3,8,21.367,4.14,71.22,21.25,0,615
221128-17,VF121922_112929,Day0_Trial9,Chamber1,,,Shock 1,0,0,0,0,1157.18,130,2304
221128-17,VF121922_112929,Day0_Trial9,Chamber1,,,Shock 2,0,0,0,0,1548.72,132,4355
221128-17,VF121922_112929,Day0_Trial9,Chamber1,,,Shock 3,0,0,0,0,1310.33,0,3891
,,,,,,,,,,,,,
221128-18,VF121922_112929,Day0_Trial9,Chamber2,,,Sound 1,9,5.3,1.03,17.67,81.64,0,964
221128-18,VF121922_112929,Day0_Trial9,Chamber2,,,Sound 2,11,8.1,1.57,27,46.37,0,388
221128-18,VF121922_112929,Day0_Trial9,Chamber2,,,Sound 3,11,21.367,4.14,71.22,10.13,0,256
221128-18,VF121922_112929,Day0_Trial9,Chamber2,,,Shock 1,0,0,0,0,925.73,35,3133
221128-18,VF121922_112929,Day0_Trial9,Chamber2,,,Shock 2,0,0,0,0,520.27,13,1531
221128-18,VF121922_112929,Day0_Trial9,Chamber2,,,Shock 3,0,0,0,0,647.62,0,3030
,,,,,,,,,,,,,
221128-19,VF121922_114147,Day0_Trial10,Chamber1,,,Sound 1,0,0,0,0,321.76,0,2309
221128-19,VF121922_114147,Day0_Trial10,Chamber1,,,Sound 2,3,1.5,0.29,5,171.17,0,950
221128-19,VF121922_114147,Day0_Trial10,Chamber1,,,Sound 3,4,8.9,1.72,29.67,99.48,0,1155
221128-19,VF121922_114147,Day0_Trial10,Chamber1,,,Shock 1,0,0,0,0,1540.18,136,4333
221128-19,VF121922_114147,Day0_Trial10,Chamber1,,,Shock 2,0,0,0,0,1544.95,33,3286
221128-19,VF121922_114147,Day0_Trial10,Chamber1,,,Shock 3,0,0,0,0,1382.02,27,3714
,,,,,,,,,,,,,
221128-20,VF121922_114147,Day0_Trial10,Chamber2,,,Sound 1,0,0,0,0,160.41,0,1216
221128-20,VF121922_114147,Day0_Trial10,Chamber2,,,Sound 2,4,1.7,0.33,5.67,86.64,0,2416
221128-20,VF121922_114147,Day0_Trial10,Chamber2,,,Sound 3,9,9.533,1.85,31.78,48.47,0,445
221128-20,VF121922_114147,Day0_Trial10,Chamber2,,,Shock 1,0,0,0,0,680.53,11,2693
221128-20,VF121922_114147,Day0_Trial10,Chamber2,,,Shock 2,0,0,0,0,634.08,91,2127
221128-20,VF121922_114147,Day0_Trial10,Chamber2,,,Shock 3,0,0,0,0,1085.18,0,3679
