,Date :,11/23/2022 13:29,,,,,,,,,,,
221101-12,VF112322_121051,Day2_Trial6,Chamber2,,,Day2_Exploration,9,14.667,3.26,3.26,191.23,0,1854
,,,,,,,,,,,,,
221101-13,VF112322_122226,Day2_Trial7,Chamber1,,,Day2_Acclimation,20,9.933,2.21,5.52,152.71,0,1299
221101-13,VF112322_122226,Day2_Trial7,Chamber1,,,Day2_CSTone,128,130.767,29.06,36.32,71.93,0,1671
221101-13,VF112322_122226,Day2_Trial7,Chamber1,,,Day2_Exploration,20,17.8,3.96,3.96,142.84,0,1671
,,,,,,,,,,,,,
221101-14,VF112322_122226,Day2_Trial7,Chamber2,,,Day2_Acclimation,78,47.867,10.64,26.59,107.94,0,1414
221101-14,VF112322_122226,Day2_Trial7,Chamber2,,,Day2_CSTone,82,105.867,23.53,29.41,62.22,0,1103
221101-14,VF112322_122226,Day2_Trial7,Chamber2,,,Day2_Exploration,28,27.167,6.04,6.04,69.76,0,849
,,,,,,,,,,,,,
221101-15,VF112322_123305,Day2_Trial8,Chamber1,,,Day2_Acclimation,49,42.3,9.4,23.5,102.09,0,987
221101-15,VF112322_123305,Day2_Trial8,Chamber1,,,Day2_CSTone,76,86.433,19.21,24.01,78.42,0,1319
221101-15,VF112322_123305,Day2_Trial8,Chamber1,,,Day2_Exploration,20,23.167,5.15,5.15,80.43,0,912
,,,,,,,,,,,,,
221101-16,VF112322_123305,Day2_Trial8,Chamber2,,,Day2_Acclimation,53,35,7.78,19.44,110.54,0,1825
221101-16,VF112322_123305,Day2_Trial8,Chamber2,,,Day2_CSTone,80,81.9,18.2,22.75,121.48,0,1973
221101-16,VF112322_123305,Day2_Trial8,Chamber2,,,Day2_Exploration,11,15.233,3.39,3.39,205.86,0,1973
,,,,,,,,,,,,,
221101-17,VF112322_124353,Day2_Trial9,Chamber1,,,Day2_Acclimation,20,13.9,3.09,7.72,266.43,0,2243
221101-17,VF112322_124353,Day2_Trial9,Chamber1,,,Day2_CSTone,69,62.233,13.83,17.29,177.62,0,2057
221101-17,VF112322_124353,Day2_Trial9,Chamber1,,,Day2_Exploration,24,26.5,5.89,5.89,102.7,0,895
,,,,,,,,,,,,,
221101-18,VF112322_124353,Day2_Trial9,Chamber2,,,Day2_Acclimation,24,17.567,3.9,9.76,231.89,0,1854
221101-18,VF112322_124353,Day2_Trial9,Chamber2,,,Day2_CSTone,91,108.9,24.2,30.25,98.96,0,1704
221101-18,VF112322_124353,Day2_Trial9,Chamber2,,,Day2_Exploration,6,4.267,0.95,0.95,232.29,0,1704
,,,,,,,,,,,,,
221101-19,VF112322_125612,Day2_Trial10,Chamber1,,,Day2_Acclimation,26,34.167,7.59,18.98,151.96,0,1790
221101-19,VF112322_125612,Day2_Trial10,Chamber1,,,Day2_CSTone,73,125.033,27.79,34.73,83.55,0,2268
221101-19,VF112322_125612,Day2_Trial10,Chamber1,,,Day2_Exploration,21,29.467,6.55,6.55,68.36,0,451
,,,,,,,,,,,,,
221101-20,VF112322_125612,Day2_Trial10,Chamber2,,,Day2_Acclimation,9,4.033,0.9,2.24,194.11,0,1912
221101-20,VF112322_125612,Day2_Trial10,Chamber2,,,Day2_CSTone,76,52.233,11.61,14.51,105,0,1587
221101-20,VF112322_125612,Day2_Trial10,Chamber2,,,Day2_Exploration,14,10.1,2.24,2.24,117.23,0,1587
,,,,,,,,,,,,,
221101-21,VF112322_130735,Day2_Trial11,Chamber1,,,Day2_Acclimation,22,17.5,3.89,9.72,247.69,0,2077
221101-21,VF112322_130735,Day2_Trial11,Chamber1,,,Day2_CSTone,67,75.933,16.87,21.09,152.88,0,1767
221101-21,VF112322_130735,Day2_Trial11,Chamber1,,,Day2_Exploration,7,3.367,0.75,0.75,214.64,0,1767
,,,,,,,,,,,,,
221101-22,VF112322_130735,Day2_Trial11,Chamber2,,,Day2_Acclimation,26,22.1,4.91,12.28,147.55,0,1340
221101-22,VF112322_130735,Day2_Trial11,Chamber2,,,Day2_CSTone,67,88,19.56,24.44,87.92,0,1783
221101-22,VF112322_130735,Day2_Trial11,Chamber2,,,Day2_Exploration,23,31.1,6.91,6.91,68.59,0,1077
,,,,,,,,,,,,,
221101-23,VF112322_131826,Day2_Trial12,Chamber1,,,Day2_Acclimation,26,21.933,4.87,12.19,160.44,0,1882
221101-23,VF112322_131826,Day2_Trial12,Chamber1,,,Day2_CSTone,77,123.567,27.46,34.32,70.15,0,1718
221101-23,VF112322_131826,Day2_Trial12,Chamber1,,,Day2_Exploration,23,36.267,8.06,8.06,77.98,0,1718
,,,,,,,,,,,,,
221101-24,VF112322_131826,Day2_Trial12,Chamber2,,,Day2_Acclimation,0,0,0,0,236.65,0,1390
221101-24,VF112322_131826,Day2_Trial12,Chamber2,,,Day2_CSTone,49,40.433,8.99,11.23,114.95,0,1142
221101-24,VF112322_131826,Day2_Trial12,Chamber2,,,Day2_Exploration,15,14.333,3.19,3.19,104.2,0,737
