,Date :,2/8/2023 12:12,,,,,,,,,,,
230117-12,VF020823_105833,Day2_Trial6,Chamber2,,,Day2_Exploration,11,9.033,2.01,2.01,197.69,0,1658
,,,,,,,,,,,,,
230117-13,VF020823_110915,Day2_Trial7,Chamber1,,,Day2_Acclimation,3,1.733,0.39,0.96,328.57,0,1987
230117-13,VF020823_110915,Day2_Trial7,Chamber1,,,Day2_CSTone,67,94.367,20.97,26.21,126.8,0,1771
230117-13,VF020823_110915,Day2_Trial7,Chamber1,,,Day2_Exploration,10,11.167,2.48,2.48,160.7,0,1114
,,,,,,,,,,,,,
230117-14,VF020823_110915,Day2_Trial7,Chamber2,,,Day2_Acclimation,17,13.533,3.01,7.52,198.45,0,1518
230117-14,VF020823_110915,Day2_Trial7,Chamber2,,,Day2_CSTone,77,131.767,29.28,36.6,84.5,0,1789
230117-14,VF020823_110915,Day2_Trial7,Chamber2,,,Day2_Exploration,16,17.767,3.95,3.95,172.01,0,1789
,,,,,,,,,,,,,
230117-15,VF020823_112032,Day2_Trial8,Chamber1,,,Day2_Acclimation,20,12.7,2.82,7.06,287.86,0,1998
230117-15,VF020823_112032,Day2_Trial8,Chamber1,,,Day2_CSTone,56,163.1,36.24,45.31,73.36,0,1461
230117-15,VF020823_112032,Day2_Trial8,Chamber1,,,Day2_Exploration,11,14.867,3.3,3.3,180.63,0,1461
,,,,,,,,,,,,,
230117-16,VF020823_112032,Day2_Trial8,Chamber2,,,Day2_Acclimation,3,2.467,0.55,1.37,289.08,0,1927
230117-16,VF020823_112032,Day2_Trial8,Chamber2,,,Day2_CSTone,52,40.133,8.92,11.15,172.03,0,1769
230117-16,VF020823_112032,Day2_Trial8,Chamber2,,,Day2_Exploration,5,3.267,0.73,0.73,182.58,0,1475
,,,,,,,,,,,,,
230117-17,VF020823_113136,Day2_Trial9,Chamber1,,,Day2_Acclimation,0,0,0,0,419.85,0,2048
230117-17,VF020823_113136,Day2_Trial9,Chamber1,,,Day2_CSTone,38,81,18,22.5,149.73,0,1981
230117-17,VF020823_113136,Day2_Trial9,Chamber1,,,Day2_Exploration,9,15.867,3.53,3.53,178.77,0,1315
,,,,,,,,,,,,,
230117-18,VF020823_113136,Day2_Trial9,Chamber2,,,Day2_Acclimation,1,0.333,0.07,0.19,353.79,0,1780
230117-18,VF020823_113136,Day2_Trial9,Chamber2,,,Day2_CSTone,28,18.767,4.17,5.21,272.09,0,2941
230117-18,VF020823_113136,Day2_Trial9,Chamber2,,,Day2_Exploration,5,4.067,0.9,0.9,307.85,0,1635
,,,,,,,,,,,,,
230117-19,VF020823_114257,Day2_Trial10,Chamber1,,,Day2_Acclimation,14,14.3,3.18,7.94,243.12,0,1691
230117-19,VF020823_114257,Day2_Trial10,Chamber1,,,Day2_CSTone,64,120.733,26.83,33.54,87.41,0,1361
230117-19,VF020823_114257,Day2_Trial10,Chamber1,,,Day2_Exploration,18,28.967,6.44,6.44,119.4,0,1361
,,,,,,,,,,,,,
230117-20,VF020823_114257,Day2_Trial10,Chamber2,,,Day2_Acclimation,0,0,0,0,442.68,0,2382
230117-20,VF020823_114257,Day2_Trial10,Chamber2,,,Day2_CSTone,10,9.867,2.19,2.74,265.17,0,5562
230117-20,VF020823_114257,Day2_Trial10,Chamber2,,,Day2_Exploration,4,2.533,0.56,0.56,251.99,0,2268
