,Date :,10/24/2022 13:24,,,,,,,,,,,,,,
221003-7,VF102422_102845,Day0_Trial3,Chamber2,,,Sound 2,7,3.567,0.69,11.89,96.83,0,691,,,
221003-7,VF102422_102845,Day0_Trial3,Chamber2,,,Sound 3,10,9.367,1.82,31.22,45.91,0,417,,,
221003-7,VF102422_102845,Day0_Trial3,Chamber2,,,Shock 1,0,0,0,0,673.28,64,2562,,,
221003-7,VF102422_102845,Day0_Trial3,Chamber2,,,Shock 2,0,0,0,0,651.38,20,1429,,,
221003-7,VF102422_102845,Day0_Trial3,Chamber2,,,Shock 3,0,0,0,0,786.95,0,2547,,,
,,,,,,,,,,,,,,,,
221003-8,VF102422_104130,Day0_Trial4,Chamber1,,,Sound 1,0,0,0,0,505,5,1792,,,
221003-8,VF102422_104130,Day0_Trial4,Chamber1,,,Sound 2,5,3.133,0.61,10.44,193.56,0,1328,,,
221003-8,VF102422_104130,Day0_Trial4,Chamber1,,,Sound 3,1,0.8,0.16,2.67,100.1,0,1281,,,
221003-8,VF102422_104130,Day0_Trial4,Chamber1,,,Shock 1,0,0,0,0,1220.7,3,3454,,,
221003-8,VF102422_104130,Day0_Trial4,Chamber1,,,Shock 2,0,0,0,0,1754.53,78,3960,,,
221003-8,VF102422_104130,Day0_Trial4,Chamber1,,,Shock 3,0,0,0,0,1472.4,15,3980,,,
,,,,,,,,,,,,,,,,
221003-9,VF102422_104130,Day0_Trial4,Chamber2,,,Sound 1,0,0,0,0,166.16,0,863,,,
221003-9,VF102422_104130,Day0_Trial4,Chamber2,,,Sound 2,2,1.267,0.25,4.22,89.84,0,576,,,
221003-9,VF102422_104130,Day0_Trial4,Chamber2,,,Sound 3,15,14.267,2.76,47.56,23.09,0,268,,,
221003-9,VF102422_104130,Day0_Trial4,Chamber2,,,Shock 1,0,0,0,0,664.82,67,2143,,,
221003-9,VF102422_104130,Day0_Trial4,Chamber2,,,Shock 2,0,0,0,0,686.22,33,1725,,,
221003-9,VF102422_104130,Day0_Trial4,Chamber2,,,Shock 3,0,0,0,0,856.57,0,2931,,,
,,,,,,,,,,,,,,,,
221003-10,VF102422_105516,Day0_Trial5,Chamber1,,,Sound 1,0,0,0,0,635.58,11,2289,,,
221003-10,VF102422_105516,Day0_Trial5,Chamber1,,,Sound 2,4,4.333,0.84,14.44,233.69,0,1749,,,
221003-10,VF102422_105516,Day0_Trial5,Chamber1,,,Sound 3,2,0.767,0.15,2.56,196.29,0,1243,,,
221003-10,VF102422_105516,Day0_Trial5,Chamber1,,,Shock 1,0,0,0,0,1640.75,71,4093,,,
221003-10,VF102422_105516,Day0_Trial5,Chamber1,,,Shock 2,0,0,0,0,1304.12,293,3671,,,
221003-10,VF102422_105516,Day0_Trial5,Chamber1,,,Shock 3,0,0,0,0,1589.48,3,5757,,,
,,,,,,,,,,,,,,,,
221003-11,VF102422_105516,Day0_Trial5,Chamber2,,,Sound 1,1,0.633,0.12,2.11,236.58,0,2323,,,
221003-11,VF102422_105516,Day0_Trial5,Chamber2,,,Sound 2,4,3.7,0.72,12.33,66.86,0,498,,,
221003-11,VF102422_105516,Day0_Trial5,Chamber2,,,Sound 3,6,4.667,0.9,15.56,41.66,0,490,,,
221003-11,VF102422_105516,Day0_Trial5,Chamber2,,,Shock 1,0,0,0,0,440.23,25,877,,,
221003-11,VF102422_105516,Day0_Trial5,Chamber2,,,Shock 2,0,0,0,0,421.68,60,1783,,,
221003-11,VF102422_105516,Day0_Trial5,Chamber2,,,Shock 3,0,0,0,0,1220.78,0,7396,,,
,,,,,,,,,,,,,,,,
221003-12,VF102422_110841,Day0_Trial6,Chamber1,,,Sound 1,0,0,0,0,609.38,22,2095,,,
221003-12,VF102422_110841,Day0_Trial6,Chamber1,,,Sound 2,6,4.8,0.93,16,228.03,0,1461,,,
221003-12,VF102422_110841,Day0_Trial6,Chamber1,,,Sound 3,14,15.167,2.94,50.56,24.15,0,225,,,
221003-12,VF102422_110841,Day0_Trial6,Chamber1,,,Shock 1,0,0,0,0,1532.38,330,3619,,,
221003-12,VF102422_110841,Day0_Trial6,Chamber1,,,Shock 2,0,0,0,0,1075.05,148,2385,,,
221003-12,VF102422_110841,Day0_Trial6,Chamber1,,,Shock 3,0,0,0,0,1135.52,10,3157,,,
,,,,,,,,,,,,,,,,
221003-13,VF102422_110841,Day0_Trial6,Chamber2,,,Sound 1,1,0.367,0.07,1.22,202.89,0,1094,,,
221003-13,VF102422_110841,Day0_Trial6,Chamber2,,,Sound 2,15,12.733,2.47,42.44,21.49,0,336,,,
221003-13,VF102422_110841,Day0_Trial6,Chamber2,,,Sound 3,13,22.667,4.39,75.56,8.74,0,171,,,
221003-13,VF102422_110841,Day0_Trial6,Chamber2,,,Shock 1,0,0,0,0,751.75,37,2543,,,
221003-13,VF102422_110841,Day0_Trial6,Chamber2,,,Shock 2,0,0,0,0,528.52,0,1216,,,
221003-13,VF102422_110841,Day0_Trial6,Chamber2,,,Shock 3,0,0,0,0,664.52,0,2842,,,
,,,,,,,,,,,,,,,,
221003-14,VF102422_112349,Day0_Trial7,Chamber1,,,Sound 1,1,0.5,0.1,1.67,510.01,0,2036,,,
221003-14,VF102422_112349,Day0_Trial7,Chamber1,,,Sound 2,9,7.433,1.44,24.78,199.1,0,1101,,,
221003-14,VF102422_112349,Day0_Trial7,Chamber1,,,Sound 3,11,18.633,3.61,62.11,36.34,0,392,,,
221003-14,VF102422_112349,Day0_Trial7,Chamber1,,,Shock 1,0,0,0,0,1081.02,198,3039,,,
221003-14,VF102422_112349,Day0_Trial7,Chamber1,,,Shock 2,0,0,0,0,1365.5,0,4047,,,
221003-14,VF102422_112349,Day0_Trial7,Chamber1,,,Shock 3,0,0,0,0,1206.38,74,3268,,,
,,,,,,,,,,,,,,,,
221003-15,VF102422_112349,Day0_Trial7,Chamber2,,,Sound 1,2,1.4,0.27,4.67,121.08,0,1036,,,
221003-15,VF102422_112349,Day0_Trial7,Chamber2,,,Sound 2,1,0.567,0.11,1.89,95.79,0,448,,,
221003-15,VF102422_112349,Day0_Trial7,Chamber2,,,Sound 3,12,18.733,3.63,62.44,14.5,0,170,,,
221003-15,VF102422_112349,Day0_Trial7,Chamber2,,,Shock 1,0,0,0,0,871.2,1,4046,,,
221003-15,VF102422_112349,Day0_Trial7,Chamber2,,,Shock 2,0,0,0,0,780.83,26,2919,,,
221003-15,VF102422_112349,Day0_Trial7,Chamber2,,,Shock 3,0,0,0,0,731.23,25,2250,,,
,,,,,,,,,,,,,,,,
221003-16,VF102422_113841,Day0_Trial8,Chamber1,,,Sound 1,1,0.467,0.09,1.56,449.84,0,1733,,,
221003-16,VF102422_113841,Day0_Trial8,Chamber1,,,Sound 2,9,5.167,1,17.22,197.91,0,1094,,,
221003-16,VF102422_113841,Day0_Trial8,Chamber1,,,Sound 3,9,15.5,3,51.67,98.85,0,1224,,,
221003-16,VF102422_113841,Day0_Trial8,Chamber1,,,Shock 1,0,0,0,0,1041.9,293,2009,,,
221003-16,VF102422_113841,Day0_Trial8,Chamber1,,,Shock 2,0,0,0,0,1456.37,142,3207,,,
221003-16,VF102422_113841,Day0_Trial8,Chamber1,,,Shock 3,0,0,0,0,1395.23,490,3521,,,
,,,,,,,,,,,,,,,,
221003-17,VF102422_113841,Day0_Trial8,Chamber2,,,Sound 1,4,1.567,0.3,5.22,120.04,0,985,,,
221003-17,VF102422_113841,Day0_Trial8,Chamber2,,,Sound 2,6,4.967,0.96,16.56,59.57,0,510,,,
221003-17,VF102422_113841,Day0_Trial8,Chamber2,,,Sound 3,15,16.967,3.29,56.56,18.12,0,288,,,
221003-17,VF102422_113841,Day0_Trial8,Chamber2,,,Shock 1,0,0,0,0,630.1,63,2217,,,
221003-17,VF102422_113841,Day0_Trial8,Chamber2,,,Shock 2,0,0,0,0,813.6,0,3820,,,
221003-17,VF102422_113841,Day0_Trial8,Chamber2,,,Shock 3,0,0,0,0,766.77,0,2783,,,
,,,,,,,,,,,,,,,,
221003-18,VF102422_115434,Day0_Trial9,Chamber1,,,Sound 1,1,0.467,0.09,1.56,509.22,0,2242,,,
221003-18,VF102422_115434,Day0_Trial9,Chamber1,,,Sound 2,5,10.8,2.09,36,99.58,0,652,,,
221003-18,VF102422_115434,Day0_Trial9,Chamber1,,,Sound 3,2,2.7,0.52,9,145.61,0,897,,,
221003-18,VF102422_115434,Day0_Trial9,Chamber1,,,Shock 1,0,0,0,0,1694.57,263,3860,,,
221003-18,VF102422_115434,Day0_Trial9,Chamber1,,,Shock 2,0,0,0,0,1421.95,0,3798,,,
221003-18,VF102422_115434,Day0_Trial9,Chamber1,,,Shock 3,0,0,0,0,1714.48,1,4334,,,
,,,,,,,,,,,,,,,,
221003-19,VF102422_115434,Day0_Trial9,Chamber2,,,Sound 1,2,0.933,0.18,3.11,148.55,0,803,,,
221003-19,VF102422_115434,Day0_Trial9,Chamber2,,,Sound 2,17,13.7,2.66,45.67,20.05,0,233,,,
221003-19,VF102422_115434,Day0_Trial9,Chamber2,,,Sound 3,11,25.933,5.03,86.44,3.69,0,171,,,
221003-19,VF102422_115434,Day0_Trial9,Chamber2,,,Shock 1,0,0,0,0,642.5,47,1905,,,
221003-19,VF102422_115434,Day0_Trial9,Chamber2,,,Shock 2,0,0,0,0,521.28,0,1439,,,
221003-19,VF102422_115434,Day0_Trial9,Chamber2,,,Shock 3,0,0,0,0,608.2,0,2522,,,
,,,,,,,,,,,,,,,,
221003-20,VF102422_120816,Day0_Trial10,Chamber1,,,Sound 1,1,0.333,0.06,1.11,435.73,0,1976,,,
221003-20,VF102422_120816,Day0_Trial10,Chamber1,,,Sound 2,2,0.967,0.19,3.22,77.12,0,743,,,
221003-20,VF102422_120816,Day0_Trial10,Chamber1,,,Sound 3,8,6.3,1.22,21,100.98,0,1161,,,
221003-20,VF102422_120816,Day0_Trial10,Chamber1,,,Shock 1,0,0,0,0,1657.5,0,4144,,,
221003-20,VF102422_120816,Day0_Trial10,Chamber1,,,Shock 2,0,0,0,0,1591.23,0,4804,,,
221003-20,VF102422_120816,Day0_Trial10,Chamber1,,,Shock 3,0,0,0,0,1371.68,0,3237,,,
,,,,,,,,,,,,,,,,
221003-21,VF102422_120816,Day0_Trial10,Chamber2,,,Sound 1,3,1.567,0.3,5.22,148.74,0,1348,,,
221003-21,VF102422_120816,Day0_Trial10,Chamber2,,,Sound 2,18,13.367,2.59,44.56,28.35,0,292,,,
221003-21,VF102422_120816,Day0_Trial10,Chamber2,,,Sound 3,15,22.667,4.39,75.56,10.73,0,441,,,
221003-21,VF102422_120816,Day0_Trial10,Chamber2,,,Shock 1,0,0,0,0,775.3,71,3437,,,
221003-21,VF102422_120816,Day0_Trial10,Chamber2,,,Shock 2,0,0,0,0,796.95,1,2462,,,
221003-21,VF102422_120816,Day0_Trial10,Chamber2,,,Shock 3,0,0,0,0,729.38,0,2598,,,
,,,,,,,,,,,,,,,,
221003-22,VF102422_122103,Day0_Trial11,Chamber1,,,Sound 1,1,0.9,0.17,3,404.99,0,2101,,,
221003-22,VF102422_122103,Day0_Trial11,Chamber1,,,Sound 2,10,6.3,1.22,21,186.18,0,1810,,,
221003-22,VF102422_122103,Day0_Trial11,Chamber1,,,Sound 3,16,18.3,3.55,61,39.72,0,463,,,
221003-22,VF102422_122103,Day0_Trial11,Chamber1,,,Shock 1,0,0,0,0,1070.02,22,4040,,,
221003-22,VF102422_122103,Day0_Trial11,Chamber1,,,Shock 2,0,0,0,0,1217.45,240,3087,,,
221003-22,VF102422_122103,Day0_Trial11,Chamber1,,,Shock 3,0,0,0,0,1580.32,152,3948,,,
,,,,,,,,,,,,,,,,
221003-23,VF102422_122103,Day0_Trial11,Chamber2,,,Sound 1,1,0.733,0.14,2.44,145.73,0,1614,,,
221003-23,VF102422_122103,Day0_Trial11,Chamber2,,,Sound 2,11,9.733,1.89,32.44,44.53,0,944,,,
221003-23,VF102422_122103,Day0_Trial11,Chamber2,,,Sound 3,10,20,3.88,66.67,18.56,0,285,,,
221003-23,VF102422_122103,Day0_Trial11,Chamber2,,,Shock 1,0,0,0,0,1205.33,74,5168,,,
221003-23,VF102422_122103,Day0_Trial11,Chamber2,,,Shock 2,0,0,0,0,1167.15,5,4712,,,
221003-23,VF102422_122103,Day0_Trial11,Chamber2,,,Shock 3,0,0,0,0,1024.38,0,4360,,,
,,,,,,,,,,,,,,,,
221003-24,VF102422_123339,Day0_Trial12,Chamber1,,,Sound 1,0,0,0,0,344.87,0,1678,,,
221003-24,VF102422_123339,Day0_Trial12,Chamber1,,,Sound 2,6,4.4,0.85,14.67,193.25,0,1187,,,
221003-24,VF102422_123339,Day0_Trial12,Chamber1,,,Sound 3,6,3.767,0.73,12.56,114.11,0,833,,,
221003-24,VF102422_123339,Day0_Trial12,Chamber1,,,Shock 1,0,0,0,0,1386.77,94,4918,,,
221003-24,VF102422_123339,Day0_Trial12,Chamber1,,,Shock 2,0,0,0,0,1530.32,71,4212,,,
221003-24,VF102422_123339,Day0_Trial12,Chamber1,,,Shock 3,0,0,0,0,1681.45,20,4071,,,
,,,,,,,,,,,,,,,,
221003-25,VF102422_123339,Day0_Trial12,Chamber2,,,Sound 1,0,0,0,0,203.07,0,985,,,
221003-25,VF102422_123339,Day0_Trial12,Chamber2,,,Sound 2,11,8.4,1.63,28,46.49,0,333,,,
221003-25,VF102422_123339,Day0_Trial12,Chamber2,,,Sound 3,16,13.9,2.69,46.33,30.29,0,303,,,
221003-25,VF102422_123339,Day0_Trial12,Chamber2,,,Shock 1,0,0,0,0,784.33,58,3615,,,
221003-25,VF102422_123339,Day0_Trial12,Chamber2,,,Shock 2,0,0,0,0,993.72,13,3288,,,
221003-25,VF102422_123339,Day0_Trial12,Chamber2,,,Shock 3,0,0,0,0,798.55,0,3268,,,
,,,,,,,,,,,,,,,,
221003-26,VF102422_124726,Day0_Trial13,Chamber1,,,Sound 1,3,1.967,0.38,6.56,270.73,0,1242,,,
221003-26,VF102422_124726,Day0_Trial13,Chamber1,,,Sound 2,0,0,0,0,235.69,0,966,,,
221003-26,VF102422_124726,Day0_Trial13,Chamber1,,,Sound 3,11,14.2,2.75,47.33,55.96,0,464,,,
221003-26,VF102422_124726,Day0_Trial13,Chamber1,,,Shock 1,0,0,0,0,1183.93,1,3646,,,
221003-26,VF102422_124726,Day0_Trial13,Chamber1,,,Shock 2,0,0,0,0,1207,171,4129,,,
221003-26,VF102422_124726,Day0_Trial13,Chamber1,,,Shock 3,0,0,0,0,968.35,0,2777,,,
,,,,,,,,,,,,,,,,
221003-27,VF102422_124726,Day0_Trial13,Chamber2,,,Sound 1,2,1,0.19,3.33,119.2,0,1084,,,
221003-27,VF102422_124726,Day0_Trial13,Chamber2,,,Sound 2,5,3.1,0.6,10.33,61.1,0,422,,,
221003-27,VF102422_124726,Day0_Trial13,Chamber2,,,Sound 3,15,17.267,3.35,57.56,22.32,0,292,,,
221003-27,VF102422_124726,Day0_Trial13,Chamber2,,,Shock 1,0,0,0,0,676.82,11,2231,,,
221003-27,VF102422_124726,Day0_Trial13,Chamber2,,,Shock 2,0,0,0,0,541.48,42,1408,,,
221003-27,VF102422_124726,Day0_Trial13,Chamber2,,,Shock 3,0,0,0,0,573.72,0,3173,,,
,,,,,,,,,,,,,,,,
221003-28,VF102422_125936,Day0_Trial14,Chamber1,,,Sound 1,0,0,0,0,441.22,0,2462,,,
221003-28,VF102422_125936,Day0_Trial14,Chamber1,,,Sound 2,1,1.367,0.26,4.56,148.07,0,696,,,
221003-28,VF102422_125936,Day0_Trial14,Chamber1,,,Sound 3,6,7.7,1.49,25.67,55.17,0,386,,,
221003-28,VF102422_125936,Day0_Trial14,Chamber1,,,Shock 1,0,0,0,0,1492.9,103,3868,,,
221003-28,VF102422_125936,Day0_Trial14,Chamber1,,,Shock 2,0,0,0,0,1235.72,57,3788,,,
221003-28,VF102422_125936,Day0_Trial14,Chamber1,,,Shock 3,0,0,0,0,1522.42,40,2860,,,
,,,,,,,,,,,,,,,,
221003-29,VF102422_125936,Day0_Trial14,Chamber2,,,Sound 1,1,0.433,0.08,1.44,136.3,0,822,,,
221003-29,VF102422_125936,Day0_Trial14,Chamber2,,,Sound 2,8,4.4,0.85,14.67,50.89,0,318,,,
221003-29,VF102422_125936,Day0_Trial14,Chamber2,,,Sound 3,15,15.667,3.04,52.22,37.68,0,716,,,
221003-29,VF102422_125936,Day0_Trial14,Chamber2,,,Shock 1,0,0,0,0,720.03,6,2058,,,
221003-29,VF102422_125936,Day0_Trial14,Chamber2,,,Shock 2,0,0,0,0,669.55,1,2186,,,
221003-29,VF102422_125936,Day0_Trial14,Chamber2,,,Shock 3,0,0,0,0,542.32,6,2293,,,
,,,,,,,,,,,,,,,,
221003-30,VF102422_131137,Day0_Trial15,Chamber1,,,Sound 1,0,0,0,0,264.43,0,1348,,,
221003-30,VF102422_131137,Day0_Trial15,Chamber1,,,Sound 2,0,0,0,0,220.69,2,1917,,,
221003-30,VF102422_131137,Day0_Trial15,Chamber1,,,Sound 3,0,0,0,0,187.98,0,678,,,
221003-30,VF102422_131137,Day0_Trial15,Chamber1,,,Shock 1,0,0,0,0,1437.03,207,3418,,,
221003-30,VF102422_131137,Day0_Trial15,Chamber1,,,Shock 2,0,0,0,0,1425.95,231,4110,,,
221003-30,VF102422_131137,Day0_Trial15,Chamber1,,,Shock 3,0,0,0,0,955.35,219,3434,,,
