,Date :,10/26/2022 12:24,,,,,,,,,,,
221003-12,VF102622_103312,Day2_Trial6,Chamber2,,,Day2_Exploration,18,22.9,5.09,5.09,120.29,0,1620
,,,,,,,,,,,,,
221003-13,VF102622_104420,Day2_Trial7,Chamber1,,,Day2_Acclimation,24,29.033,6.45,16.13,180.42,0,1576
221003-13,VF102622_104420,Day2_Trial7,Chamber1,,,Day2_CSTone,70,168.3,37.4,46.75,41.47,0,1131
221003-13,VF102622_104420,Day2_Trial7,Chamber1,,,Day2_Exploration,31,53.467,11.88,11.88,22.29,0,267
,,,,,,,,,,,,,
221003-14,VF102622_104420,Day2_Trial7,Chamber2,,,Day2_Acclimation,6,3.033,0.67,1.69,345.96,0,2321
221003-14,VF102622_104420,Day2_Trial7,Chamber2,,,Day2_CSTone,72,104.5,23.22,29.03,105.27,0,1493
221003-14,VF102622_104420,Day2_Trial7,Chamber2,,,Day2_Exploration,6,3.4,0.76,0.76,174.58,0,1493
,,,,,,,,,,,,,
221003-15,VF102622_105516,Day2_Trial8,Chamber1,,,Day2_Acclimation,25,16.6,3.69,9.22,129.3,0,1894
221003-15,VF102622_105516,Day2_Trial8,Chamber1,,,Day2_CSTone,33,27.367,6.08,7.6,138.17,0,4617
221003-15,VF102622_105516,Day2_Trial8,Chamber1,,,Day2_Exploration,14,12.7,2.82,2.82,108.29,0,969
,,,,,,,,,,,,,
221003-16,VF102622_105516,Day2_Trial8,Chamber2,,,Day2_Acclimation,16,7.9,1.76,4.39,185.17,0,1851
221003-16,VF102622_105516,Day2_Trial8,Chamber2,,,Day2_CSTone,130,107.333,23.85,29.81,130.59,0,3005
221003-16,VF102622_105516,Day2_Trial8,Chamber2,,,Day2_Exploration,12,7.833,1.74,1.74,259.86,0,3005
,,,,,,,,,,,,,
221003-17,VF102622_110545,Day2_Trial9,Chamber1,,,Day2_Acclimation,30,45.367,10.08,25.2,91.56,0,734
221003-17,VF102622_110545,Day2_Trial9,Chamber1,,,Day2_CSTone,51,87.9,19.53,24.42,75.81,0,748
221003-17,VF102622_110545,Day2_Trial9,Chamber1,,,Day2_Exploration,9,7.7,1.71,1.71,122.45,0,748
,,,,,,,,,,,,,
221003-18,VF102622_110545,Day2_Trial9,Chamber2,,,Day2_Acclimation,9,9.267,2.06,5.15,243.65,0,2170
221003-18,VF102622_110545,Day2_Trial9,Chamber2,,,Day2_CSTone,59,166.8,37.07,46.33,48.08,0,1007
221003-18,VF102622_110545,Day2_Trial9,Chamber2,,,Day2_Exploration,17,30.3,6.73,6.73,96.02,0,900
,,,,,,,,,,,,,
221003-19,VF102622_111648,Day2_Trial10,Chamber1,,,Day2_Acclimation,42,32.767,7.28,18.2,134.4,0,1433
221003-19,VF102622_111648,Day2_Trial10,Chamber1,,,Day2_CSTone,89,144.8,32.18,40.22,46.21,0,735
221003-19,VF102622_111648,Day2_Trial10,Chamber1,,,Day2_Exploration,20,27.367,6.08,6.08,87.66,0,735
,,,,,,,,,,,,,
221003-20,VF102622_111648,Day2_Trial10,Chamber2,,,Day2_Acclimation,12,11.467,2.55,6.37,240.94,0,2271
221003-20,VF102622_111648,Day2_Trial10,Chamber2,,,Day2_CSTone,36,89.567,19.9,24.88,102.67,0,2079
221003-20,VF102622_111648,Day2_Trial10,Chamber2,,,Day2_Exploration,6,5.833,1.3,1.3,130.39,0,845
,,,,,,,,,,,,,
221003-21,VF102622_112739,Day2_Trail11,Chamber1,,,Day2_Acclimation,37,42.767,9.5,23.76,155.03,0,1627
221003-21,VF102622_112739,Day2_Trail11,Chamber1,,,Day2_CSTone,62,127.9,28.42,35.53,80.77,0,1141
221003-21,VF102622_112739,Day2_Trail11,Chamber1,,,Day2_Exploration,12,12.2,2.71,2.71,166.03,0,1141
,,,,,,,,,,,,,
221003-22,VF102622_112739,Day2_Trail11,Chamber2,,,Day2_Acclimation,23,17,3.78,9.44,258.09,0,2220
221003-22,VF102622_112739,Day2_Trail11,Chamber2,,,Day2_CSTone,86,123.033,27.34,34.18,94.43,0,1290
221003-22,VF102622_112739,Day2_Trail11,Chamber2,,,Day2_Exploration,16,12.3,2.73,2.73,191,0,1290
,,,,,,,,,,,,,
221003-23,VF102622_113901,Day2_Trial12,Chamber1,,,Day2_Acclimation,82,57.367,12.75,31.87,60.6,0,857
221003-23,VF102622_113901,Day2_Trial12,Chamber1,,,Day2_CSTone,127,137.2,30.49,38.11,55.42,0,6548
221003-23,VF102622_113901,Day2_Trial12,Chamber1,,,Day2_Exploration,37,43.2,9.6,9.6,35.31,0,577
,,,,,,,,,,,,,
221003-24,VF102622_113901,Day2_Trial12,Chamber2,,,Day2_Acclimation,31,39.567,8.79,21.98,96.33,0,1269
221003-24,VF102622_113901,Day2_Trial12,Chamber2,,,Day2_CSTone,77,121.8,27.07,33.83,59.47,0,1135
221003-24,VF102622_113901,Day2_Trial12,Chamber2,,,Day2_Exploration,23,28.133,6.25,6.25,72.89,0,1135
,,,,,,,,,,,,,
221003-25,VF102622_115000,Day2_Trial13,Chamber1,,,Day2_Acclimation,15,10.167,2.26,5.65,243.81,0,2166
221003-25,VF102622_115000,Day2_Trial13,Chamber1,,,Day2_CSTone,76,69,15.33,19.17,111.5,0,2760
221003-25,VF102622_115000,Day2_Trial13,Chamber1,,,Day2_Exploration,13,11.867,2.64,2.64,122.78,0,1255
,,,,,,,,,,,,,
221003-26,VF102622_115000,Day2_Trial13,Chamber2,,,Day2_Acclimation,20,12.267,2.73,6.81,110.92,0,1074
221003-26,VF102622_115000,Day2_Trial13,Chamber2,,,Day2_CSTone,65,60.367,13.41,16.77,69.91,0,948
221003-26,VF102622_115000,Day2_Trial13,Chamber2,,,Day2_Exploration,18,9.967,2.21,2.21,89.55,0,948
,,,,,,,,,,,,,
221003-27,VF102622_120153,Day2_Trial14,Chamber1,,,Day2_Acclimation,18,18.8,4.18,10.44,174.82,0,1577
221003-27,VF102622_120153,Day2_Trial14,Chamber1,,,Day2_CSTone,66,92.133,20.47,25.59,95.74,0,928
221003-27,VF102622_120153,Day2_Trial14,Chamber1,,,Day2_Exploration,20,18.067,4.01,4.01,108.4,0,903
,,,,,,,,,,,,,
221003-28,VF102622_120153,Day2_Trial14,Chamber2,,,Day2_Acclimation,5,2.433,0.54,1.35,316.53,0,2302
221003-28,VF102622_120153,Day2_Trial14,Chamber2,,,Day2_CSTone,67,77.5,17.22,21.53,93.78,0,1218
221003-28,VF102622_120153,Day2_Trial14,Chamber2,,,Day2_Exploration,6,4.467,0.99,0.99,137.72,0,1218
,,,,,,,,,,,,,
221003-29,VF102622_121250,Day2_Trial15,Chamber1,,,Day2_Acclimation,6,3.467,0.77,1.93,246.73,0,1799
221003-29,VF102622_121250,Day2_Trial15,Chamber1,,,Day2_CSTone,86,82.833,18.41,23.01,90.12,0,1002
221003-29,VF102622_121250,Day2_Trial15,Chamber1,,,Day2_Exploration,14,10.067,2.24,2.24,141.9,0,1002
,,,,,,,,,,,,,
221003-30,VF102622_121250,Day2_Trial15,Chamber2,,,Day2_Acclimation,8,4.533,1.01,2.52,201.7,0,1667
221003-30,VF102622_121250,Day2_Trial15,Chamber2,,,Day2_CSTone,59,57.6,12.8,16,117.34,0,1836
221003-30,VF102622_121250,Day2_Trial15,Chamber2,,,Day2_Exploration,12,7.267,1.61,1.61,146.63,0,1145
